Row Label,County,Louis Watanabe,Pramila Jayapal,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1919,KI,45,131,378,29,207,0,2
SEA 37-1902,KI,44,173,339,7,224,0,0
SEA 37-1576,KI,72,104,435,10,186,0,0
SEA 37-1574,KI,61,104,417,13,179,0,1
SEA 37-1575,KI,48,59,377,16,124,0,1
SEA 37-1572,KI,58,110,307,11,180,0,1
SEA 37-1570,KI,91,189,659,24,304,0,0
SEA 37-1571,KI,82,151,432,13,250,0,4
SEA 37-1823,KI,15,21,209,7,44,0,1
SEA 37-1578,KI,50,105,413,15,172,0,2
SEA 37-1579,KI,30,73,247,5,108,0,0
SEA 37-1608,KI,47,222,559,21,293,0,3
SEA 37-1609,KI,38,190,414,14,242,0,0
SEA 37-3159,KI,128,217,845,37,383,0,1
SEA 37-1607,KI,72,142,524,10,227,0,3
SEA 37-1886,KI,40,229,523,21,293,0,3
SEA 37-1884,KI,64,295,643,25,385,0,1
SEA 37-1885,KI,44,162,398,17,223,0,0
SEA 37-1882,KI,37,150,395,6,193,0,0
SEA 37-1883,KI,35,154,423,11,204,0,4
SEA 37-1880,KI,45,205,514,25,276,0,1
SEA 37-1881,KI,29,142,396,16,188,0,1
KELSEY,KI,76,104,439,29,209,0,0
SEA 37-3647,KI,35,89,447,22,146,0,0
SEA 37-1638,KI,41,105,505,14,162,0,2
SEA 37-1635,KI,67,109,524,21,199,0,2
SEA 37-1634,KI,70,99,473,22,191,0,0
SEA 37-1637,KI,101,162,760,27,295,0,5
SEA 37-1636,KI,89,117,586,9,217,0,2
SEA 37-1631,KI,56,99,301,29,187,0,3
SEA 37-1630,KI,68,76,309,24,169,0,1
SEA 37-1633,KI,50,99,329,12,163,0,2
SEA 37-1632,KI,58,98,292,16,173,0,1
SEA 37-1872,KI,107,218,581,28,359,0,6
SEA 37-1589,KI,50,153,290,14,217,0,0
SEA 37-1588,KI,34,115,244,10,159,0,0
SEA 37-1876,KI,58,350,766,36,444,0,0
SEA 37-1875,KI,57,209,525,21,288,0,1
SEA 37-1583,KI,90,255,700,31,382,2,4
SEA 37-1582,KI,75,191,715,23,291,0,2
SEA 37-1879,KI,71,313,839,37,424,1,2
SEA 37-1580,KI,52,100,333,8,160,0,0
SEA 37-1587,KI,59,126,311,10,195,0,0
SEA 37-1586,KI,51,185,373,15,251,0,0
SEA 37-1585,KI,52,157,358,21,233,0,3
SEA 37-1584,KI,55,141,332,11,210,1,2
SEA 37-3639,KI,58,124,303,9,191,0,0
SEA 37-1834,KI,54,114,386,19,188,0,1
SEA 37-2861,KI,49,162,391,32,243,0,0
SEA 37-3636,KI,100,174,786,20,296,1,1
SEA 37-1938,KI,44,186,394,17,247,0,0
SEA 37-1622,KI,85,102,578,36,226,0,3
SEA 37-1620,KI,54,71,418,13,140,0,2
SEA 37-1621,KI,45,89,342,17,151,0,0
SEA 37-1907,KI,80,332,657,20,432,0,0
SEA 37-1906,KI,28,235,427,17,280,0,0
SEA 37-1628,KI,51,154,444,9,215,0,1
SEA 37-1629,KI,66,130,527,24,221,0,1
SEA 37-1903,KI,57,142,312,18,218,0,1
SEA 37-1871,KI,60,303,629,26,389,0,0
SEA 37-1901,KI,26,126,260,11,163,0,0
SEA 37-1900,KI,46,131,355,14,192,1,0
SEA 37-3696,KI,5,11,49,2,18,0,0
SEA 37-1864,KI,75,171,622,23,273,0,4
SEA 37-1590,KI,39,168,294,20,228,0,1
SEA 37-1591,KI,38,197,360,14,249,0,0
SEA 37-1592,KI,72,265,634,22,361,0,2
SEA 37-1593,KI,51,190,470,13,254,0,0
SEA 37-1594,KI,67,251,761,23,343,0,2
SEA 37-1596,KI,72,153,497,34,260,0,1
SEA 37-3416,KI,40,71,502,20,134,0,3
LOIS,KI,91,115,566,25,237,0,6
BETTY,KI,88,146,775,24,263,0,5
SEA 37-1925,KI,56,76,319,20,153,0,1
SHAMROCK,KI,143,145,693,41,332,0,3
SEA 37-1918,KI,42,145,347,25,212,0,0
SEA 37-1652,KI,59,80,287,18,157,0,0
SEA 37-1651,KI,66,163,736,25,256,0,2
RNT 37-3154,KI,119,145,770,41,311,0,6
SEA 37-1914,KI,57,268,523,39,364,0,0
SEA 37-1915,KI,51,173,384,34,260,0,2
SEA 37-1916,KI,47,187,357,26,261,0,1
SEA 37-1917,KI,75,205,454,30,311,0,1
SEA 37-1910,KI,61,232,513,35,329,0,1
SEA 37-1911,KI,57,87,284,46,191,0,1
SEA 37-1913,KI,44,173,338,22,239,0,0
SEA 37-1854,KI,45,118,386,26,190,0,1
SEA 37-1850,KI,101,212,650,32,346,0,1
SEA 37-1853,KI,24,84,281,12,120,0,0
SEA 37-1565,KI,44,113,331,14,172,0,1
ANGEL CITY,KI,119,145,745,30,299,0,5
CORNELL,KI,118,172,557,25,316,0,1
SEA 37-1648,KI,99,200,695,27,327,1,0
SEA 37-3617,KI,59,147,553,28,235,0,1
BRYN MAWR,KI,85,77,365,39,201,0,0
CAMPBELL HILL,KI,99,129,642,19,250,2,1
RNT 37-0969,KI,0,0,0,0,0,0,0
RNT 37-0967,KI,99,101,503,31,236,0,5
RNT 37-0965,KI,143,145,708,53,346,0,5
SEA 37-1920,KI,89,215,574,33,339,0,2
SEA 37-1646,KI,38,101,457,11,151,1,0
SEA 37-1647,KI,113,197,669,36,349,0,3
SEA 37-1640,KI,127,141,738,25,293,0,0
SEA 37-1930,KI,127,241,738,22,391,1,0
SEA 37-1927,KI,57,138,409,20,216,0,1
SEA 37-1643,KI,90,110,682,26,228,0,2
SEA 37-1840,KI,71,178,616,31,281,0,1
SEA 37-1841,KI,100,265,813,31,396,0,0
RNT 37-3650,KI,78,91,474,32,204,1,2
RNT 37-0991,KI,89,117,619,40,250,0,4
RNT 37-0999,KI,129,171,760,39,343,0,4
WALLACE,KI,62,108,454,23,194,0,1
SEA 37-3567,KI,42,76,408,12,130,0,0
LAKERIDGE,KI,172,198,751,37,411,0,4
SEA 37-1936,KI,54,141,296,27,222,0,0
SEA 37-1937,KI,66,118,293,28,212,0,0
SEA 37-1934,KI,90,332,784,45,472,0,5
SEA 37-1935,KI,37,149,291,17,204,0,1
SEA 37-1932,KI,52,146,416,20,218,0,0
SEA 37-1839,KI,59,298,754,38,399,0,4
SEA 37-1838,KI,79,287,764,35,405,0,4
SEA 37-1650,KI,60,86,260,28,175,0,1
SEA 37-1833,KI,71,240,653,23,336,0,2
SEA 37-1831,KI,42,154,353,24,221,0,1
SEA 37-3694,KI,7,34,92,3,44,0,0
RNT 37-1000,KI,51,60,532,30,142,0,1
SEA 37-3693,KI,0,0,0,0,0,0,0
SEA 37-3673,KI,58,194,563,16,277,0,9
SEA 37-3672,KI,50,153,426,22,225,0,0
SEA 37-3573,KI,18,74,564,18,111,0,1
SEA 37-1558,KI,105,123,702,44,273,0,1
SEA 37-1559,KI,35,67,338,6,108,0,0
SEA 37-1555,KI,56,118,410,16,190,0,0
LANGSTON,KI,108,119,587,25,254,0,2
SEA 37-1557,KI,53,57,343,11,124,1,2
SEA 37-1553,KI,73,115,388,14,206,2,2
SEA 37-1950,KI,16,44,187,5,67,0,2
SEA 37-1898,KI,20,127,285,11,158,0,0
SEA 37-1824,KI,38,196,394,11,246,0,1
SEA 37-1825,KI,99,162,704,32,296,0,3
SEA 37-1827,KI,80,167,558,23,270,0,0
BROKEN HILL,KI,103,141,639,24,268,0,0
SEA 37-1940,KI,77,172,536,17,268,0,2
SEA 37-1944,KI,97,202,754,26,326,0,1
SEA 37-2799,KI,50,132,445,22,206,0,2
SEA 37-3666,KI,39,80,422,8,128,0,1
SEA 37-1563,KI,37,67,323,7,111,0,0
ROWAN,KI,70,99,356,24,195,0,2
SEA 37-1564,KI,83,125,396,18,227,0,1
SEA 37-1567,KI,67,74,332,15,156,0,0
SEA 37-1566,KI,80,72,327,23,176,0,1
SEA 37-1568,KI,47,111,434,20,179,0,1
SEA 37-2686,KI,71,174,604,40,291,0,6
SEA 37-1619,KI,54,189,449,12,256,0,1
SEA 37-1618,KI,26,149,389,13,188,0,0
SEA 37-1613,KI,48,139,292,13,200,0,0
SEA 37-1612,KI,50,126,288,15,191,0,0
SEA 37-1611,KI,40,142,289,9,191,0,0
SEA 37-1610,KI,27,172,331,7,206,0,0
SEA 37-1617,KI,31,163,323,7,201,0,0
SEA 37-1616,KI,43,155,351,7,207,0,2
SEA 37-1615,KI,53,140,343,8,205,0,4
SEA 37-1614,KI,33,109,260,13,155,0,0
SEA 37-1899,KI,46,138,338,11,195,0,0
EARLINGTON,KI,70,67,357,10,150,0,3
SEA 37-1891,KI,40,137,304,16,193,0,0
