Row Label,County,Brenda Chilton
Griffin,BE,4
215,BE,157
Ridge,BE,0
Kiona,BE,337
210,BE,165
Hedges,BE,182
Weidle,BE,41
Randy,BE,98
W2 - P641,BE,160
W2 - P640,BE,232
135,BE,186
165,BE,156
W1 - P685,BE,312
W1 - P686,BE,252
W1 - P680,BE,310
W1 - P681,BE,217
W1 - P682,BE,361
W1 - P683,BE,225
Columbia,BE,0
El Rancho,BE,357
Benton South,BE,205
W3 - P545,BE,127
French,BE,33
289,BE,362
288,BE,217
(none),BE,226
281,BE,329
280,BE,291
283,BE,197
220,BE,131
285,BE,370
284,BE,216
287,BE,149
286,BE,185
235,BE,143
Pearson,BE,5
Apricot,BE,59
Benton East,BE,0
McBee,BE,2
Candy,BE,6
455,BE,205
Reata,BE,198
W1 - P670,BE,222
W3-P511,BE,20
W1 - P675,BE,106
W1 - P674,BE,171
265,BE,178
W1 - P676,BE,343
Harrington,BE,310
W3 - P558,BE,339
W3 - P559,BE,323
Carley,BE,1
W3 - P552,BE,250
W3 - P553,BE,232
W3 - P550,BE,269
W3 - P551,BE,218
W3 - P556,BE,311
W3 - P557,BE,268
WR 11,BE,258
W3 - P555,BE,209
WR 17,BE,184
130,BE,188
WR 16,BE,172
Benton North,BE,301
292,BE,184
293,BE,150
290,BE,259
Badger,BE,183
Sacagawea,BE,1
Crow Butte,BE,29
195,BE,184
Washington,BE,86
311,BE,0
310,BE,261
Mills,BE,282
Rattlesnake,BE,55
Liberty,BE,10
Vineyard,BE,0
271,BE,118
W1 - P660,BE,239
W1 - P667,BE,112
W1 - P664,BE,390
W1 - P665,BE,322
278,BE,268
279,BE,101
W1 - P668,BE,382
W1 - P669,BE,156
175,BE,395
Susie,BE,22
Walnut Grove,BE,154
Kennewick Valley,BE,226
Yakima,BE,5
Hawthorne,BE,155
Expansion,BE,1
W3 - P560,BE,118
255,BE,205
Yellowstone,BE,128
Cook,BE,12
Celilo,BE,266
WR 10,BE,23
Orchard,BE,13
300,BE,223
301,BE,232
Jewel,BE,30
305,BE,230
W1 - P657,BE,188
W1 - P656,BE,118
W1 - P655,BE,150
Shockley,BE,4
240,BE,314
W1 - P651,BE,51
W1 - P650,BE,290
Ivey,BE,169
105,BE,154
245,BE,175
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,211
270,BE,258
Roe,BE,14
WR 1,BE,126
W2 - P633,BE,251
Cone,BE,139
W3 - P540,BE,228
160,BE,275
291,BE,280
282,BE,356
W2 - P635,BE,284
Elk,BE,0
125,BE,160
450,BE,268
Salmon,BE,48
Umatilla,BE,94
W1 - P645,BE,53
W1 - P646,BE,82
Gage,BE,4
Bobbie,BE,0
W2 - P639,BE,157
W2 - P601,BE,130
W2 - P600,BE,121
Riverside,BE,257
W2 - P605,BE,173
W1 - P691,BE,39
170,BE,180
W3 - P505,BE,171
Buena Vista,BE,370
W3 - P500,BE,44
Demoss,BE,16
Sunny,BE,59
316,BE,0
180,BE,123
W2 - P570,BE,221
186,BE,71
Dot,BE,121
W2 - P575,BE,95
185,BE,96
250,BE,212
Onion,BE,0
465,BE,248
Horse Heaven,BE,35
460,BE,206
190,BE,236
315,BE,390
Enterprise,BE,159
W2 - P590,BE,159
W2 - P610,BE,154
W2 - P595,BE,176
Prosser North,BE,235
W2 - P615,BE,64
115,BE,146
W3 - P515,BE,124
W3 - P510,BE,112
225,BE,180
W2 - P565,BE,109
Canyon,BE,230
295,BE,232
W2 - P560,BE,133
Roza,BE,0
Edgewater,BE,181
W2 - P625,BE,237
110,BE,191
151,BE,409
150,BE,300
Vista,BE,111
WR 4,BE,327
Legion,BE,216
Cherry,BE,243
Oak,BE,113
WR 9,BE,189
WR 8,BE,313
W1-P663,BE,215
Paterson,BE,15
WR 2,BE,140
WR 3,BE,115
W2 - P626,BE,135
W2 - P580,BE,149
W3 - P520,BE,88
WR 7,BE,290
Chandler,BE,36
W3 - P525,BE,133
W2 - P585,BE,129
W2-P574,BE,129
230,BE,146
WR12,BE,300
WR13,BE,195
WR14,BE,337
WR15,BE,219
WR 6,BE,309
320,BE,343
WR 5,BE,98
155,BE,329
W2 - P620,BE,168
White Bluffs,BE,317
200,BE,182
145,BE,302
205,BE,163
140,BE,164
275,BE,96
W3 - P535,BE,100
W2 - P630,BE,214
Goose Ridge,BE,53
W2 - P634,BE,325
Reese,BE,28
W2 - P636,BE,255
W2 - P637,BE,281
W2 - P638,BE,284
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,302
W3 - P530,BE,131
South,BE,173
Ida,BE,0
120,BE,231
Finley,BE,334
Tumble Weed,BE,44
Miller,BE,1
470,BE,175
260,BE,174
W3-P516,BE,10
Red Mountain,BE,209
Total,BE,40668
Clements,BE,52
