Row Label,County,Irene Bowling,Tim Sheldon
BELFAIR,MA,220,239
MILL CREEK,MA,360,325
HARSTINE,MA,419,329
DAYTON,MA,229,207
DOWNTOWN,MA,250,180
AIRPORT,MA,358,357
MATLOCK,MA,238,263
AGATE,MA,255,262
JOHN&#39;S PRAIRIE,MA,199,199
OLYMPIC VIEW,MA,324,301
ISABELLA,MA,170,159
CUSHMAN,MA,302,325
MASON LAKE,MA,207,263
SAND HILL,MA,235,308
KAMILCHE POINT,MA,178,125
HILLCREST,MA,201,167
EELLS,MA,97,112
BORDEAUX,MA,56,29
ANGLESIDE,MA,315,236
ARCADIA,MA,349,303
HOOD CANAL,MA,249,392
UNION,MA,378,482
LIMERICK,MA,415,352
FAWN LAKE,MA,332,301
TIGER LAKE,MA,128,170
PICKERING,MA,240,272
CALLANAN,MA,14,8
KAMILCHE,MA,106,120
VICTOR,MA,187,224
TWANOH,MA,155,190
OAKLAND BAY,MA,222,225
TAHUYA,MA,237,296
ALLYN,MA,405,558
DEWATTO,MA,233,363
TIMBERLAKE,MA,315,314
GRAPEVIEW,MA,312,347
FAIR HARBOR,MA,171,225
TRAIL&#39;S END,MA,235,353
SKOKOMISH,MA,70,42
Total,MA,9366,9923
