Row Label,County,Kimberly A Allen
Ephrata 7 012,GR,256
Hartline Rural S 020,GR,23
Moses Lake 5 029,GR,240
Ephrata 9 013,GR,410
Beverly 002,GR,22
East Wahluke 061,GR,63
Royal City 044,GR,96
Moses Lake 2 067,GR,211
Marlin 024,GR,16
Lakeview Park 021,GR,216
Moses Lake 9  068,GR,253
Coulee City 005,GR,154
North Banks Lake 037,GR,44
Ephrata Rural E,GR,234
Moses Lake 7 033,GR,301
George 015,GR,34
Mae 023,GR,633
Ruff 045,GR,37
Cascade Valley 058,GR,414
Wilson Crk Rural 056,GR,24
Electric City 007,GR,236
Coulee Cty Rur N 072,GR,56
Moses Lake 1 066,GR,166
Smyrna 2 060,GR,23
Hartline 019,GR,43
Moses Lake 4 031,GR,230
Cascade Fairgrnd 004,GR,194
Warden 050,GR,150
Ephrata 5 008,GR,215
Quincy 4 040,GR,117
Ephrata 4 011,GR,348
Quincy 1 039,GR,208
Stratford 049,GR,36
Westslope 1 053,GR,72
McConihe 1 028,GR,128
Marlin Rural 025,GR,29
Coulee Cty Rur W 006,GR,72
Coulee Cty Rur E 062,GR,18
Moses Lake 6 032,GR,370
Wheeler 2 070,GR,457
Longview 022,GR,293
Greenfield 065,GR,46
Mattawa Rural 027,GR,327
Airport 2 057,GR,156
Soap Lake 1 047,GR,138
Airport 1 001,GR,189
Grand Coulee 018,GR,193
Moses Lake 12 036,GR,296
Gloyd 017,GR,210
Hartline Rural N 073,GR,24
Smyrna 1 046,GR,101
Westslope 2 059,GR,69
Moses Lake 3 030,GR,369
Mattawa 026,GR,36
O Sullivan Dam 2 069,GR,483
Soap Lake 2 052,GR,133
Quincy Rural S 064,GR,422
Ephrata Rural ,GR,217
Ephrata 3 010,GR,192
Wheeler 1 054,GR,180
Warden Rural 051,GR,285
George Rural 016,GR,389
McConihe 2 063,GR,113
Quincy 6 041,GR,339
Block 71 003,GR,436
Wilson Creek 055,GR,55
Quincy Rural N 042,GR,152
Moses Lake 8 034,GR,399
O Sullivan Dam 1 038,GR,367
Soap Lake Rur E ,GR,62
Royal Camp 043,GR,339
Total,GR,14887
Soap Lake Rur W ,GR,269
Ephrata 2 009,GR,293
Moses Lake 11 035,GR,466
