Row Label,County,Marko Liias,Dan Matthews
EDMONDS 51,SN,184,125
ROYAL,SN,186,237
MEADOWCREST,SN,152,128
OLIVIA,SN,26,16
MANORDALE,SN,132,130
HIWAY,SN,23,10
EDMONDS  2,SN,188,166
EDMONDS  3,SN,234,149
HAMPTON,SN,180,131
EDMONDS  1,SN,168,165
EDMONDS  7,SN,263,159
EDMONDS  4,SN,189,114
SHELBY,SN,147,101
EVERETT  79,SN,128,127
EDMONDS  9,SN,131,107
RHODY RIDGE,SN,101,103
KEELER,SN,142,98
TERRACE,SN,37,28
MARTHA LAKE,SN,143,167
MUKILTEO 18,SN,197,219
MUKILTEO 19,SN,120,157
MUKILTEO 12,SN,267,212
MUKILTEO 13,SN,154,184
MUKILTEO 10,SN,127,97
MUKILTEO 11,SN,151,128
MUKILTEO 16,SN,221,198
COVE,SN,150,129
MUKILTEO 14,SN,196,205
MUKILTEO 15,SN,50,56
EDMONDS  5,SN,125,87
POPPY,SN,91,100
EAST SHORE,SN,148,143
EVERETT  61,SN,25,26
EVERETT  64,SN,65,64
EVERETT  65,SN,127,113
EVERETT  66,SN,170,109
CASCADIAN,SN,172,190
ALDER,SN,145,111
HIPOINT,SN,117,70
EMERALD,SN,122,150
LUNDS GULCH,SN,74,39
HEMLOCK,SN,232,169
FREEWAY,SN,150,150
PIONEER,SN,150,124
SHORE,SN,183,148
EDMONDS  8,SN,261,190
EVERETT  57,SN,144,121
EVERETT  56,SN,135,106
EVERETT  52,SN,134,111
EDMONDS 11,SN,214,176
EDMONDS 10,SN,229,166
EDMONDS 13,SN,259,152
EDMONDS 17,SN,175,115
LIND,SN,185,97
MUKILTEO  9,SN,148,167
AVALON,SN,91,58
POST,SN,157,125
STOCK SHOW,SN,76,78
PUGET,SN,158,107
ELFIN,SN,78,89
FILBERT,SN,191,167
EDMONDS 24,SN,157,88
NORTHROAD,SN,205,167
EDMONDS 21,SN,235,199
EDMONDS 22,SN,197,134
EDMONDS 23,SN,198,217
EDMONDS 28,SN,185,140
FAIRWOOD,SN,69,68
LYNNWOOD 34,SN,96,66
JEFFERSON,SN,123,81
BEVERLY,SN,163,117
EVERETT  35,SN,136,162
MARINER,SN,128,109
EDMONDS 39,SN,214,212
EDMONDS 38,SN,185,174
KENTISH,SN,117,110
MANOR,SN,176,103
EDMONDS 33,SN,178,114
EDMONDS 32,SN,189,128
EDMONDS 31,SN,210,140
EDMONDS 30,SN,164,99
EDMONDS 37,SN,187,124
EDMONDS 36,SN,185,138
EDMONDS 35,SN,142,140
EDMONDS 34,SN,199,139
ASH,SN,213,170
SHADOW WOOD,SN,175,107
PICNIC POINT,SN,121,128
FIELD,SN,155,134
YORK,SN,166,159
EVERGREEN,SN,108,84
STONE GATE,SN,149,86
EDMONDS 46,SN,297,254
WOODGATE,SN,65,98
WALNUT,SN,115,95
MEADOWDALE,SN,159,119
WINGATE,SN,171,161
BUTTERNUT,SN,153,128
DALE,SN,157,130
CLOVER,SN,111,127
SERENE,SN,165,125
JEFF,SN,125,93
ALICIA,SN,177,152
MUKILTEO 21,SN,101,96
MUKILTEO 20,SN,199,194
ADMIRALTY,SN,126,82
EVERETT  91,SN,102,93
NORMA,SN,146,88
EVERETT  92,SN,2,2
EVERETT  95,SN,77,55
EDMONDS 26,SN,141,103
GROVE,SN,176,164
FOREST,SN,172,145
EMANDER,SN,168,127
GIBSON,SN,116,84
MUKILTEO  5,SN,225,217
MUKILTEO  4,SN,121,119
MUKILTEO  7,SN,137,118
MUKILTEO  6,SN,168,173
MUKILTEO  1,SN,211,207
MUKILTEO  3,SN,123,143
MUKILTEO  2,SN,263,215
STICKNEY,SN,146,158
MUKILTEO  8,SN,132,110
MUKILTEO 17,SN,217,210
HILLMAN,SN,132,133
MADISON,SN,215,181
CASCADE,SN,112,84
EVERETT  84,SN,54,31
EVERETT  83,SN,117,106
EDMONDS 29,SN,233,112
LYNNWOOD 19,SN,157,138
Total,SN,20227,16871
