Row Label,County,John H. Doherty
BEAVER 204,CM,198
CLALLAM BAY 215,CM,173
FORKS 301,CM,177
QUILEUTE 262,CM,118
FORKS 302,CM,244
BOGACHIEL 212,CM,93
SUN 269,CM,104
Total,CM,1285
NEAH BAY 252,CM,178
