Row Label,County,Mary E. Fairhurst
Montesano 601,GY,416
Riviera 050,GY,22
McCleary Rural 060,GY,237
Hoquiam 421,GY,209
Satsop 052,GY,110
Aberdeen 132,GY,0
Lois Lane 082,GY,77
Ocosta 092,GY,0
Cutoff032,GY,54
Johns River 094,GY,183
Melbourne 072,GY,193
Bush 058,GY,340
Aberdeen 121,GY,348
Geissler 036,GY,29
Coats Landing 034,GY,164
Hoquiam 441,GY,266
Grayland 096,GY,202
Hoquiam 461,GY,218
Blockhouse 068,GY,184
Boundary 044,GY,28
Westport 901,GY,353
Humptulips 018,GY,32
Chehalis 066,GY,4
Elma 302,GY,313
Aberdeen 111,GY,380
Cohasset 098,GY,126
Burrows 014,GY,13
Quinault 004,GY,93
Porter 062,GY,112
Delezenne 070,GY,225
Pacific Beach 008,GY,130
Aberdeen 131,GY,475
Elma 301,GY,149
Axford 020,GY,83
Brady 048,GY,244
Hoquiam 431,GY,252
Dekay 022,GY,41
Ocean City 012,GY,166
Moclips 010,GY,19
Montesano 603,GY,0
Cosmopolis 201,GY,351
Cedar Creek 064,GY,56
Ocean Shores 801,GY,392
Ocean Shores 802,GY,507
Ocean Shores 803,GY,458
North Wishkah 028,GY,1
Calder 056,GY,159
Lund 088,GY,43
Taholah 002,GY,155
Aberdeen 142,GY,249
Devonshire 074,GY,174
Reynvaan 040,GY,83
Aberdeen Lake 038,GY,2
Aberdeen 161,GY,365
Wilderness 016,GY,70
Hoquiam 451,GY,201
Sierra 086,GY,1
Blue Slough 084,GY,125
Black Creek 046,GY,283
Hoquiam Rural 024,GY,185
Wishkah 030,GY,153
Stover 026,GY,34
Oakville 701,GY,94
Aberdeen 141,GY,307
Vesta 076,GY,29
Artic 078,GY,33
Wynoochee 042,GY,4
Montesano 602,GY,452
Aberdeen 151,GY,214
Central Park 080,GY,374
Newskah 090,GY,11
McCleary 501,GY,258
Neilton 006,GY,42
Total,GY,12589
Hoquiam 411,GY,234
