Row Label,County,Reuven Carlyle,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Leslie Klein
SEA 36-1812,KI,186,469,24,251,0,0,41
SEA 36-1813,KI,143,330,12,174,0,1,18
SEA 36-1816,KI,132,303,13,172,0,0,27
SEA 36-1815,KI,210,453,32,273,0,0,31
SEA 36-2509,KI,217,403,16,260,0,1,26
SEA 36-2131,KI,355,851,35,453,0,1,62
SEA 36-1391,KI,215,439,23,262,0,0,24
SEA 36-1390,KI,162,290,16,191,0,0,13
SEA 36-1393,KI,182,297,12,209,0,1,14
SEA 36-1392,KI,222,411,10,255,0,0,23
SEA 36-1395,KI,245,444,18,276,0,1,12
SEA 36-1394,KI,281,559,25,336,0,1,29
SEA 36-1397,KI,203,357,18,233,0,0,12
SEA 36-1396,KI,144,282,9,166,0,0,13
SEA 36-1399,KI,165,296,23,205,0,2,15
SEA 36-1398,KI,214,503,21,265,0,0,30
SEA 36-2133,KI,276,698,37,348,0,1,34
SEA 36-1806,KI,221,598,25,281,0,1,34
SEA 36-1319,KI,240,469,18,285,0,2,25
SEA 36-1318,KI,436,999,49,537,1,0,51
SEA 36-1403,KI,179,497,26,234,0,0,29
SEA 36-1402,KI,167,381,16,206,0,0,23
SEA 36-2171,KI,252,491,29,329,0,1,47
SEA 36-3319,KI,273,867,42,365,0,1,49
SEA 36-1317,KI,279,631,37,370,0,1,53
SEA 36-2119,KI,155,277,10,176,0,0,11
SEA 36-1720,KI,227,622,28,287,0,0,32
SEA 36-1721,KI,188,529,22,246,0,0,36
SEA 36-1722,KI,201,536,22,256,0,1,32
SEA 36-1723,KI,197,431,24,252,0,1,30
SEA 36-1724,KI,145,315,17,207,0,1,44
SEA 36-1725,KI,152,372,15,189,0,0,22
SEA 36-1726,KI,170,387,23,214,0,0,21
SEA 36-1727,KI,185,382,18,239,0,2,34
SEA 36-1729,KI,122,231,8,147,0,2,15
SEA 36-3605,KI,190,535,18,249,0,1,40
SEA 36-3341,KI,261,654,19,325,0,2,43
SEA 36-1386,KI,152,315,16,213,0,0,45
SEA 36-1387,KI,222,462,17,289,0,0,50
SEA 36-1384,KI,191,309,8,228,0,2,27
SEA 36-1385,KI,145,243,13,175,0,1,16
SEA 36-1382,KI,189,374,18,233,0,1,25
SEA 36-2534,KI,243,547,30,315,0,0,42
SEA 36-1388,KI,198,337,17,220,0,0,5
SEA 36-1389,KI,141,259,7,163,0,0,15
SEA 36-2129,KI,271,691,18,326,0,0,37
SEA 36-1308,KI,164,298,12,193,0,1,16
SEA 36-1309,KI,271,556,30,328,0,1,26
SEA 36-1306,KI,212,381,20,240,0,1,7
SEA 36-1307,KI,147,276,15,174,0,0,12
SEA 36-1304,KI,201,333,14,234,0,0,19
SEA 36-1305,KI,184,301,12,206,0,0,10
SEA 36-1303,KI,225,411,23,269,0,0,21
SEA 36-1300,KI,170,383,22,214,0,0,22
SEA 36-1301,KI,186,319,12,218,0,0,20
SEA 36-1715,KI,147,355,10,172,0,0,15
SEA 36-1714,KI,270,526,16,321,0,1,34
SEA 36-1717,KI,106,251,14,134,0,0,14
SEA 36-1716,KI,149,357,8,177,0,1,19
SEA 36-1711,KI,284,760,46,379,0,0,49
SEA 36-1710,KI,115,351,16,157,0,0,26
SEA 36-1713,KI,142,362,17,176,0,2,15
SEA 36-1712,KI,214,463,15,269,0,0,40
SEA 36-2168,KI,278,520,38,334,0,0,18
SEA 36-1719,KI,229,510,28,299,0,0,42
SEA 36-1718,KI,120,318,16,155,0,1,18
SEA 36-3566,KI,213,579,35,307,0,0,59
SEA 36-3679,KI,104,314,10,137,0,0,23
SEA 36-2126,KI,343,722,31,419,0,0,45
SEA 36-3496,KI,250,671,28,328,0,4,46
SEA 36-2529,KI,204,456,42,314,0,0,68
SEA 36-1808,KI,135,275,8,156,0,1,12
SEA 36-1661,KI,144,277,17,193,0,0,32
SEA 36-2163,KI,143,289,18,176,0,1,14
SEA 36-1663,KI,144,275,22,205,0,0,39
SEA 36-1662,KI,186,450,25,291,0,0,80
SEA 36-1665,KI,241,515,37,356,0,2,76
SEA 36-1664,KI,149,326,17,218,0,0,52
SEA 36-1666,KI,266,572,30,360,0,0,64
SEA 36-1702,KI,284,606,35,372,0,3,50
SEA 36-1703,KI,260,530,22,340,0,0,58
SEA 36-1700,KI,157,383,23,208,0,1,27
SEA 36-1701,KI,190,331,9,231,0,0,32
SEA 36-2161,KI,259,460,18,304,0,3,24
SEA 36-1704,KI,195,640,21,251,0,1,34
SEA 36-2170,KI,228,450,19,285,0,0,38
SEA 36-1273,KI,169,279,14,201,0,1,17
SEA 36-2172,KI,171,319,21,214,0,1,21
SEA 36-3318,KI,368,680,28,428,0,1,31
SEA 36-2167,KI,164,327,18,211,0,0,29
SEA 36-3317,KI,308,595,38,383,0,1,36
SEA 36-2166,KI,204,336,12,231,0,0,15
SEA 36-2116,KI,180,299,12,202,0,1,9
SEA 36-1689,KI,233,484,29,313,0,0,51
