Row Label,County,Richard DeBolt,Michael Savoca
536,CR,218,132
537,CR,130,97
525,CR,230,158
535,CR,494,254
520,CR,201,132
530,CR,169,98
511,CR,19,12
510,CR,271,125
Total,CR,2097,1215
528,CR,365,207
