Row Label,County,Repealed,Maintained
ENDICOTT 147,WT,69,38
LACROSSE IN,WT,78,58
PULLMAN CITY 131(*),WT,0,0
GARFIELD IN,WT,111,90
PULLMAN CITY 114,WT,12,20
PULLMAN 235,WT,149,260
FARMINGTON 103,WT,22,8
LAMONT IN,WT,15,5
PULLMAN 234,WT,29,50
PULLMAN CITY 133(*),WT,0,0
COLFAX CITY 139,WT,147,90
PULLMAN CITY 127,WT,17,25
MALDEN IN,WT,47,11
PULLMAN CITY 125,WT,12,12
PULLMAN CITY 124,WT,15,17
PULLMAN CITY 123,WT,108,162
PULLMAN CITY 122,WT,66,88
PULLMAN CITY 121,WT,81,96
PULLMAN CITY 120,WT,261,417
UNIONTOWN 109,WT,20,39
TEKOA 101,WT,34,23
PULLMAN CITY 129,WT,35,58
PULLMAN CITY 128,WT,34,36
COLFAX RURAL 137,WT,136,112
DUSTY 143,WT,33,18
ALBION 112,WT,41,60
COLFAX CITY 142,WT,173,143
PULLMAN CITY 126,WT,8,23
COLTON 108,WT,50,51
COLFAX CITY 141,WT,99,81
WILCOX 138,WT,69,61
HAY 144,WT,17,9
PULLMAN 228,WT,16,18
ALBION IN,WT,93,71
COLFAX RURAL 136,WT,79,69
COLTON IN,WT,90,82
ROSALIA IN,WT,128,88
TEKOA IN,WT,123,99
HOOPER 145,WT,10,5
OAKESDALE IN,WT,106,72
ST JOHN IN,WT,134,82
LAMONT 148,WT,25,17
ROSALIA 151,WT,36,36
ST JOHN 149,WT,132,83
PULLMAN CITY 135,WT,104,171
ENDICOTT IN,WT,79,38
COLFAX CITY 140,WT,119,104
MALDEN 150(*),WT,0,0
PULLMAN CITY 134,WT,15,17
OAKESDALE 102,WT,61,39
PULLMAN CITY 118,WT,127,214
PULLMAN CITY 119,WT,112,178
PULLMAN CITY 130,WT,31,53
PULLMAN 218,WT,142,241
PULLMAN CITY 132,WT,0,0
PULLMAN RURAL 110,WT,194,220
PULLMAN RURAL 111,WT,51,72
THORNTON 152,WT,32,24
LACROSSE 146,WT,55,23
PULLMAN CITY 116,WT,215,262
PULLMAN CITY 117,WT,65,98
PALOUSE 107,WT,174,177
PULLMAN CITY 115,WT,2,8
PALOUSE RURAL 106,WT,89,99
UNIONTOWN IN,WT,36,59
STEPTOE 104,WT,63,43
FARMINGTON IN,WT,46,32
PULLMAN CITY 113,WT,61,111
GARFIELD 105,WT,54,43
Total,WT,4898,5212
