Row Label,County,Bennie W. Keller,Bruce Barkhuff
PATAHA,GA,124,47
SCOGGIN - VB MAIL,GA,91,14
PEOLA-VOTE BY MAIL,GA,6,8
GROUSE-VOTE BY MAIL(*),GA,0,0
MAYVIEW-VOTE BY MAIL(*),GA,0,0
TUCANNON - VB MAIL,GA,51,12
WARD 3,GA,169,67
PING - VOTE BY MAIL(*),GA,0,0
WARD 1,GA,74,36
WARD 2,GA,156,71
Total,GA,885,317
WARD 4,GA,107,49
PLEASANT-VB MAIL,GA,44,8
