Row Label,County,Drew C. MacEwen,Tammey Newton
CHARLAND 110,KP,256,112
PORT ORCHARD 206,KP,0,0
HUNTER 219,KP,274,134
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
LOST HIGHWAY 157,KP,345,167
BREMERTON 293(*),KP,0,0
ANDERSON CREEK 163,KP,301,118
FERNWOOD 230,KP,403,187
ALPINE 111,KP,255,138
BELFAIR VALLEY 280,KP,114,56
SUNNYSLOPE 281,KP,264,133
POWERLINE 086(*),KP,0,0
HEINS CREEK 297,KP,0,0
BREMERTON 012,KP,45,56
BREMERTON 013,KP,169,203
UELAND 082,KP,0,0
HOLLY 158,KP,87,49
BREMERTON 032,KP,19,43
PIONEER 152,KP,392,217
BREMERTON 030,KP,215,166
BREMERTON 031,KP,110,111
BREMERTON 037,KP,350,221
LAKE HELENA 214,KP,296,133
DICKENSON 282,KP,313,170
SEABECK 155,KP,489,215
ERLANDS POINT 130,KP,206,138
BREMERTON 109,KP,21,18
BREMERTON 107,KP,0,0
BAYVIEW 087,KP,73,59
SINCLAIR 275,KP,157,94
PORT ORCHARD 215,KP,0,0
BREMERTON 029,KP,178,196
SYMINGTON 151,KP,180,91
ROCKY POINT 083,KP,349,250
HERITAGE PARK 112,KP,233,124
BREMERTON 294,KP,0,0
DRIVE-IN 283(*),KP,0,0
RIDGEWAY 084,KP,99,34
MINTERBROOK 216,KP,159,80
COUNTRY CLUB 113,KP,166,107
APEX 162,KP,408,172
EAGLE CREST 164,KP,364,204
BREMERTON 007,KP,6,4
LARSON 153,KP,386,206
TWIN LAKES 285,KP,92,53
BREMERTON 088,KP,40,33
BREMERTON 114,KP,0,0
Total,KP,7848,4508
KITSAP LAKE 085,KP,19,14
