Row Label,County,Patricia A &quot;Patty&quot; Chester
MILL CREEK,ST,127
KETTLE FALLS 1,ST,254
COLUMBIA,ST,332
ARDEN 1,ST,210
COLVILLE 1,ST,119
COLVILLE 2,ST,158
DAISY,ST,137
COLVILLE 4,ST,328
COLVILLE 5,ST,261
COLVILLE 6,ST,183
COLVILLE 7,ST,176
COLVILLE VALLEY,ST,450
STONE LODGE,ST,250
ECHO VALLEY,ST,178
LOON LAKE 2,ST,196
NARCISSE,ST,330
LOON LAKE 1,ST,362
COLVILLE 3,ST,166
CAMAS PRAIRIE,ST,144
EVANS,ST,158
SPRINGDALE,ST,55
MEYERS FALLS 2,ST,378
NORTHPORT,ST,84
SUMMIT,ST,190
KELLY HILL,ST,68
CLAYTON 2,ST,257
CLAYTON 1,ST,160
ARDEN 2,ST,269
MEYERS FALLS 1,ST,236
WAITTS LAKE,ST,266
WELLPINIT,ST,144
CHEWELAH 3,ST,169
HUNTERS,ST,282
ONION CREEK,ST,105
CHEWELAH 2,ST,114
CHEWELAH 1,ST,224
ECHO,ST,313
QUARTZITE 1,ST,401
QUARTZITE 2,ST,214
TUM TUM 5,ST,237
TUM TUM 4,ST,206
ROCK CUT,ST,57
TUM TUM 1,ST,156
TUM TUM 3,ST,359
TUM TUM 2,ST,290
MARCUS,ST,56
Total,ST,11853
FIRST THOUGHT,ST,44
WALKERS PRAIRIE,ST,199
CAMAS,ST,203
ADDY,ST,272
WILLIAMS VALLEY,ST,286
ORIN 1,ST,197
ORIN 2,ST,233
KETTLE FALLS 2,ST,165
CHEWELAH FORE,ST,120
RICE,ST,139
VALLEY 1,ST,38
VALLEY 2,ST,148
