Row Label,County,Mark Miloscia,Shari Song
30-709(*),PI,0,0
30-713(*),PI,0,0
30-708,PI,231,154
30-701,PI,15,4
Total,PI,1001,707
30-707,PI,139,95
30-706,PI,229,176
30-705,PI,137,127
