Row Label,County,Luis Moscoso,Edward J. Barton
REES,SN,44,85
RAINIER,SN,65,109
CLEARVIEW,SN,165,214
PARKSHORE,SN,117,123
WAXON,SN,219,167
WHEELER,SN,109,177
SNOCADE,SN,169,253
POPLAR,SN,91,78
VALLEY,SN,37,57
KINGMAN,SN,260,204
CRYSTAL CREEK,SN,94,77
CRYSTAL,SN,163,126
GRANNIS,SN,161,142
STAFFORD,SN,92,111
HUNT,SN,2,2
VIEW,SN,141,189
LOST LAKE,SN,112,98
BOTHELL 41,SN,188,166
COUNTRY,SN,129,101
WITHERS,SN,213,160
ELWOOD,SN,142,140
CATHCART,SN,83,141
SAMOEA,SN,163,158
WOODSHIRE,SN,97,159
FALLS,SN,15,24
OLDMARK,SN,195,217
MOUNTLAKE TERRACE  4,SN,144,68
MOUNTLAKE TERRACE  5,SN,175,92
MOUNTLAKE TERRACE  6,SN,145,70
MOUNTLAKE TERRACE  1,SN,168,87
MOUNTLAKE TERRACE  2,SN,162,89
MOUNTLAKE TERRACE  3,SN,166,84
BOTHELL 40,SN,207,158
CAVALRY,SN,130,201
BOTHELL 42,SN,225,172
BOTHELL 43,SN,130,118
BOTHELL 44,SN,144,94
BOTHELL 45,SN,76,88
BOTHELL 46,SN,148,147
BOTHELL 47,SN,166,168
MINOR,SN,162,159
POND,SN,115,164
KENNARD,SN,117,119
WOODLAND,SN,78,80
NORTH CREEK,SN,160,104
WELCH,SN,134,256
CRAWFORD,SN,52,44
SILVER CREEK,SN,143,80
MALTBY,SN,145,169
NEWTON,SN,128,107
THRASHERS,SN,160,106
TURNER,SN,180,282
TAMBARK,SN,127,147
SILER,SN,81,103
MAPLEWOOD,SN,139,164
MOUNTLAKE TERRACE 19,SN,203,110
MOUNTLAKE TERRACE 18,SN,176,111
MOUNTLAKE TERRACE 17,SN,262,116
MOUNTLAKE TERRACE 16,SN,148,55
MOUNTLAKE TERRACE 15,SN,164,82
MOUNTLAKE TERRACE 14,SN,197,104
MOUNTLAKE TERRACE 13,SN,220,84
MOUNTLAKE TERRACE 12,SN,164,95
MOUNTLAKE TERRACE 11,SN,178,82
TOTEM FALLS,SN,157,255
VINE,SN,159,110
KOKANEE,SN,85,90
CREEK,SN,151,195
LOCUST,SN,161,140
WELLINGTON,SN,206,217
SUNSET,SN,202,198
PARADISE,SN,134,215
SOUTH ALDERWOOD,SN,221,155
REDHAWK,SN,175,189
BOTHELL 31,SN,184,171
ATLAS,SN,219,151
BOTHELL 33,SN,157,126
BOTHELL 32,SN,110,111
BOTHELL 35,SN,135,130
BOTHELL 34,SN,195,160
BOTHELL 37,SN,173,215
BOTHELL 36,SN,136,138
BOTHELL 39,SN,132,107
BOTHELL 38,SN,167,131
QUEENS,SN,179,121
BRIER 8,SN,136,105
BRIER 3,SN,271,192
BRIER 2,SN,145,115
BRIER 1,SN,196,126
BRIER 7,SN,151,124
BRIER 6,SN,130,85
BRIER 5,SN,227,167
BRIER 4,SN,216,119
WANDERING CREEK,SN,162,180
GLENBAR,SN,128,109
MERIDIAN,SN,155,180
BEECHER,SN,135,213
DAMSON,SN,215,152
BOSTIAN,SN,99,119
ECHO LAKE,SN,166,219
BATTERY,SN,100,119
BEAR CREEK,SN,127,114
WILLOWDALE,SN,191,143
Total,SN,15608,14135
GATEWAY,SN,135,192
