Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
31-900,PI,188,51
29-680,PI,222,92
31-902,PI,359,126
31-903,PI,4,2
31-904,PI,42,19
31-905,PI,232,85
31-906,PI,129,61
31-907,PI,201,92
31-908,PI,159,75
31-909,PI,187,83
29-640,PI,264,84
29-641,PI,276,93
29-642,PI,295,99
29-643,PI,22,12
29-648,PI,4,3
29-649,PI,75,34
25-239,PI,333,138
25-238,PI,197,59
31-901,PI,37,8
25-235,PI,11,7
25-236,PI,245,98
25-230,PI,87,28
28-588,PI,280,148
28-589,PI,287,136
28-586,PI,266,118
28-587,PI,211,87
28-584,PI,197,97
28-585,PI,310,146
28-582,PI,124,48
28-583,PI,193,69
28-580,PI,57,18
28-581,PI,193,51
25-280,PI,382,105
25-281,PI,238,73
25-282,PI,361,114
02-149,PI,329,144
25-284,PI,161,69
25-285,PI,451,155
25-286,PI,315,107
25-288,PI,360,83
25-289,PI,0,0
02-140,PI,332,126
02-141,PI,303,124
02-146,PI,237,108
02-147,PI,238,91
02-144,PI,297,119
02-145,PI,298,122
27-439,PI,300,101
27-438,PI,290,79
27-435,PI,359,81
27-434,PI,307,108
27-437,PI,294,98
27-436,PI,333,109
27-431,PI,145,40
27-430,PI,348,96
27-433,PI,324,108
27-432,PI,346,97
26-339,PI,78,11
26-338,PI,336,79
26-333,PI,377,115
26-332,PI,362,88
26-331,PI,117,25
26-330,PI,256,77
26-337,PI,394,131
26-336,PI,423,119
26-335,PI,309,93
26-334,PI,394,89
28-515,PI,492,86
28-517,PI,433,127
28-516,PI,395,109
25-237(*),PI,0,0
28-519,PI,438,100
28-518,PI,372,126
31-869,PI,101,64
31-865,PI,76,28
31-861,PI,62,27
26-348,PI,391,95
26-349,PI,380,105
26-346,PI,306,95
26-347,PI,349,81
26-344,PI,50,6
26-345,PI,387,94
26-342,PI,426,117
26-343,PI,351,105
26-340,PI,445,123
26-341,PI,360,104
25-271,PI,332,116
25-270,PI,335,123
25-273,PI,230,80
25-272,PI,365,103
25-274,PI,431,127
25-277,PI,332,123
25-276,PI,13,4
25-279,PI,291,86
25-278,PI,132,40
29-682,PI,249,116
29-683,PI,276,100
31-896(*),PI,0,0
31-923,PI,152,68
29-619,PI,247,97
29-618,PI,234,74
29-617,PI,270,84
29-616,PI,281,85
29-615,PI,312,111
29-614,PI,296,113
29-613,PI,290,102
29-612,PI,141,52
29-611,PI,57,27
29-610,PI,269,91
28-559,PI,336,97
28-558,PI,281,98
28-551,PI,440,155
28-550,PI,266,94
28-553,PI,397,119
28-552,PI,416,120
28-555,PI,450,130
28-554,PI,395,107
28-557,PI,284,116
28-556,PI,290,120
02-115,PI,230,101
02-114,PI,160,54
02-117,PI,318,101
02-116,PI,314,122
02-111,PI,249,80
25-291,PI,75,27
02-113,PI,211,67
02-112,PI,169,79
02-143,PI,217,84
25-290,PI,22,16
02-119,PI,177,72
02-118,PI,184,91
31-823,PI,151,90
31-822,PI,219,62
31-827,PI,78,18
31-826,PI,280,101
31-825,PI,235,88
31-829,PI,219,89
31-828,PI,249,84
26-302,PI,530,120
26-303,PI,468,125
26-301,PI,135,34
26-304,PI,609,97
26-305,PI,508,135
31-892,PI,184,59
31-890,PI,159,46
27-471,PI,8,6
31-891,PI,86,36
27-475,PI,301,98
27-477,PI,319,105
27-476,PI,273,51
31-897,PI,132,35
31-894,PI,41,9
31-895,PI,192,68
31-856,PI,201,70
31-857,PI,129,57
31-854,PI,135,42
31-855,PI,166,58
31-853,PI,45,17
31-919,PI,206,101
31-917,PI,323,122
31-916,PI,204,87
31-915,PI,42,18
31-914,PI,173,70
31-913,PI,93,38
31-912,PI,154,81
31-911,PI,144,39
31-910,PI,195,94
28-570(*),PI,0,0
29-653,PI,251,101
29-652,PI,29,12
29-651,PI,297,136
29-650,PI,255,99
29-656,PI,255,82
29-655,PI,132,33
29-654,PI,294,116
29-659,PI,175,52
29-658,PI,274,97
25-208,PI,440,98
25-209,PI,353,127
25-201,PI,410,130
25-202,PI,309,112
25-203,PI,370,120
25-204,PI,303,106
25-205,PI,336,132
25-206,PI,228,61
28-590,PI,10,6
29-626,PI,8,2
29-627,PI,0,0
29-624,PI,0,0
29-625,PI,2,3
29-622,PI,203,68
29-623,PI,53,22
29-620,PI,166,41
02-159,PI,159,91
02-158,PI,228,128
02-151,PI,111,30
02-150,PI,264,92
02-153,PI,246,102
02-152,PI,330,128
02-155,PI,306,129
02-154,PI,227,115
02-157,PI,383,129
02-156,PI,384,148
27-408,PI,396,95
27-409,PI,363,100
27-401,PI,200,37
27-404,PI,128,30
27-405,PI,391,103
27-406,PI,526,110
27-407,PI,341,118
28-520,PI,399,118
28-521,PI,433,123
28-522,PI,429,110
28-523,PI,427,131
28-524,PI,497,107
28-525,PI,467,120
28-526,PI,326,63
28-527,PI,521,108
28-528,PI,426,111
28-529,PI,329,101
31-818,PI,69,23
31-819,PI,145,21
31-813,PI,164,24
31-810,PI,172,48
31-816,PI,273,53
31-817,PI,311,74
31-814,PI,42,6
31-815,PI,213,51
26-351,PI,391,98
26-350,PI,381,122
26-352,PI,379,124
31-926,PI,5,2
31-927,PI,209,82
31-924,PI,143,74
31-925,PI,58,37
25-248,PI,413,149
25-249,PI,357,98
