Row Label,County,Maintained,Registered Voters,Repealed,Times Blank Voted,Times Counted,Times Over Voted
ISS 41-3554,KI,147,416,95,39,281,0
KEN 33-3232,KI,93,502,90,21,204,0
SEA 46-1968,KI,132,297,31,14,177,0
SEA 36-1391,KI,175,439,54,33,262,0
SEA 36-1390,KI,131,290,27,32,191,1
SEA 36-1393,KI,141,297,38,30,209,0
SEA 36-1392,KI,186,411,44,25,255,0
SEA 36-1395,KI,193,444,48,35,276,0
SEA 36-1394,KI,223,559,63,50,336,0
SEA 36-1397,KI,162,357,37,34,233,0
SEA 36-1396,KI,113,282,26,27,166,0
SEA 36-1399,KI,152,296,24,29,205,0
SEA 36-1398,KI,172,503,52,41,265,0
COV 47-2843,KI,183,792,163,49,395,0
BILOXI,KI,189,430,51,47,287,0
SHL 32-1209,KI,132,478,90,40,262,0
SEA 46-3687,KI,91,220,30,22,143,0
KIR 48-2731,KI,116,483,75,42,233,0
SEA 36-1403,KI,151,497,40,43,234,0
SEA 36-1402,KI,141,381,35,30,206,0
KEN 47-0835,KI,119,645,123,34,276,0
M-V 05-3368,KI,160,748,150,40,350,0
SEA 34-3637,KI,183,567,94,32,309,0
FED 30-3236,KI,187,746,117,47,351,0
FED 30-3237,KI,182,745,147,47,376,0
FED 30-3234,KI,75,382,70,18,163,0
FED 30-3235,KI,59,400,97,16,172,0
FED 30-3238,KI,68,359,74,6,148,0
SEA 37-1936,KI,158,296,38,26,222,0
BEL 48-2559,KI,154,431,80,25,259,0
SEA 37-1934,KI,311,784,100,61,472,0
AUB 30-0067,KI,69,430,81,14,164,0
WINTERGREEN,KI,94,279,49,18,161,0
TROUT LAKE,KI,160,719,164,28,352,0
SEA 34-1502,KI,148,342,44,31,223,0
ISS 05-0550,KI,95,300,58,19,172,0
SHL 32-0423,KI,117,389,75,32,224,0
SHL 32-0920,KI,126,314,49,13,188,0
SEA 37-1638,KI,90,505,48,24,162,0
SHL 32-0424,KI,119,318,52,21,192,0
SEA 37-1635,KI,98,524,80,21,199,0
SEA 37-1634,KI,101,473,65,25,191,0
SEA 37-1637,KI,153,760,114,28,295,0
SEA 37-1636,KI,110,586,85,22,217,0
SEA 37-1631,KI,104,301,58,25,187,0
GRAFF,KI,42,105,14,8,64,0
SEA 37-1633,KI,95,329,40,28,163,0
SEA 37-1632,KI,117,292,25,31,173,0
SEA 36-1715,KI,114,355,33,25,172,0
SEA 36-1714,KI,198,526,75,48,321,0
SEA 36-1717,KI,70,251,28,36,134,0
SEA 36-1716,KI,118,357,30,29,177,0
SEA 36-1711,KI,250,760,80,49,379,0
SEA 36-1710,KI,101,351,31,25,157,0
SEA 36-1713,KI,100,362,41,35,176,0
SEA 36-1712,KI,191,463,43,35,269,0
KMR 46-1181,KI,78,295,54,37,169,0
SEA 36-1719,KI,190,510,63,46,299,0
SEA 36-1718,KI,113,318,22,20,155,0
TUK 11-2949,KI,80,585,121,24,225,0
AUB 47-0059,KI,191,678,146,28,365,0
