Row Label,County,Yes,No
27-448,PI,10,10
27-449,PI,255,210
27-444,PI,238,199
27-445,PI,219,184
27-446,PI,210,194
27-447,PI,241,189
27-440,PI,279,180
27-441,PI,208,187
27-442,PI,174,151
27-443,PI,167,192
27-428,PI,288,161
27-429,PI,301,191
27-426,PI,274,226
27-427,PI,316,184
27-424,PI,294,251
27-425,PI,299,211
27-422,PI,385,295
27-423,PI,366,246
27-420,PI,395,235
27-421,PI,277,182
28-506,PI,304,280
28-507,PI,233,237
28-504,PI,305,261
28-505,PI,340,332
28-502,PI,299,304
28-503,PI,299,264
28-501,PI,315,298
28-508,PI,153,99
28-509,PI,0,0
27-459,PI,117,151
27-458,PI,183,111
27-453,PI,159,130
27-452,PI,216,186
27-451,PI,200,184
27-450,PI,240,237
27-457,PI,199,182
27-456,PI,154,164
27-455,PI,208,163
27-454,PI,255,209
27-439,PI,279,172
27-438,PI,257,166
27-435,PI,270,233
27-434,PI,233,217
27-437,PI,236,194
27-436,PI,300,183
27-431,PI,96,108
27-430,PI,284,191
27-433,PI,244,241
27-432,PI,239,244
29-627,PI,0,0
29-624,PI,0,0
29-625,PI,5,2
29-622,PI,165,134
29-623,PI,42,36
29-620,PI,125,94
27-408,PI,285,278
27-409,PI,267,255
27-404,PI,101,71
27-405,PI,304,264
27-406,PI,364,379
27-407,PI,269,259
29-601,PI,195,156
29-602,PI,157,154
29-603,PI,208,169
29-604,PI,215,169
29-605,PI,160,169
29-606,PI,225,216
29-607,PI,231,242
29-608,PI,182,171
29-609,PI,154,133
29-626(*),PI,0,0
29-619,PI,191,181
29-618,PI,169,152
29-617,PI,219,176
29-616,PI,194,212
29-615,PI,224,237
29-614,PI,246,216
29-613,PI,248,193
29-612,PI,119,100
29-611,PI,61,36
29-610,PI,205,170
27-417,PI,325,268
27-416,PI,300,275
27-415,PI,315,295
27-414,PI,356,237
27-413,PI,294,254
27-412,PI,255,232
27-411,PI,378,337
27-410,PI,299,263
27-419,PI,329,221
27-418,PI,284,232
29-621(*),PI,0,0
27-462,PI,317,223
27-463,PI,218,181
27-460,PI,308,222
27-461,PI,334,259
27-466,PI,220,203
27-467,PI,239,205
27-464,PI,271,166
27-465,PI,238,171
27-468,PI,223,182
Total,PI,22856,19071
