Row Label,County,Richard A. Weyrich
VAN FLEET,SK,256
GEAR,SK,287
BIRDSVIEW,SK,304
BURLINGTON 7,SK,154
BOW,SK,397
ROCKPORT,SK,259
ROSARIO,SK,391
MOUNT VERNON 16,SK,363
EDISON,SK,178
MOUNT VERNON 14,SK,399
MOUNT VERNON 12,SK,144
RIDGEWAY,SK,207
MOUNT VERNON 10,SK,167
SAMISH,SK,207
MOUNT VERNON 19,SK,327
BAY VIEW,SK,250
BURLINGTON 2,SK,166
STARBIRD,SK,220
BURLINGTON 1,SK,138
BURLINGTON 6,SK,153
TERRACE,SK,462
BURLINGTON 4,SK,226
BURLINGTON 5,SK,287
MANSFORD,SK,43
MAPES,SK,109
FIR,SK,134
LYMAN,SK,69
GAGES,SK,69
NOOKACHAMPS,SK,181
SAUK,SK,306
VEDERE,SK,219
HAMILTON,SK,45
VIEW TERRACE,SK,3
POINT WILLIAMS,SK,228
SKYRIDGE,SK,251
CONCRETE,SK,120
ALDER,SK,168
CLEAR LAKE,SK,275
FRUITDALE,SK,138
SWINOMISH,SK,319
SEDRO WOOLLEY  6,SK,290
MINKLER,SK,195
ANACORTES 20,SK,453
TINGLEY,SK,155
ANACORTES 22,SK,377
ANACORTES 24,SK,578
BIG LAKE,SK,376
ANACORTES 5,SK,8
COLLINS,SK,160
AVON,SK,275
MARCH POINT,SK,18
MOUNT VERNON 30,SK,341
FIDALGO,SK,328
MOUNT VERNON  4,SK,415
MOUNT VERNON  5,SK,76
MOUNT VERNON  6,SK,239
MOUNT VERNON  7,SK,320
WHITNEY,SK,134
MOUNT VERNON  2,SK,137
MOUNT VERNON  3,SK,273
LAKE SIXTEEN,SK,130
MOUNT VERNON  8,SK,531
MOUNT VERNON  9,SK,168
DEWEY,SK,493
BELFAST,SK,153
MOUNT VERNON 15,SK,193
MCMURRAY EAST,SK,63
LAKE CAVANAUGH,SK,74
SHELTER BAY,SK,337
MOUNT VERNON 27,SK,101
MOUNT VERNON 22,SK,484
MOUNT VERNON 21,SK,492
LOOKOUT,SK,337
MOUNT VERNON 11,SK,275
ANACORTES  9,SK,292
COUNTRY CLUB,SK,121
ANACORTES 21,SK,550
MOUNT VERNON  1,SK,116
SEDRO WOOLLEY  2,SK,320
SEDRO WOOLLEY  3,SK,229
SEDRO WOOLLEY  1,SK,297
MCMURRAY WEST,SK,158
SEDRO WOOLLEY  7,SK,6
SEDRO WOOLLEY  4,SK,309
SEDRO WOOLLEY  5,SK,401
MCRAE,SK,426
ANACORTES  6,SK,246
ANACORTES  7,SK,578
ANACORTES  4,SK,220
ANACORTES  1,SK,277
SNEE OOSH,SK,234
MONTBORNE,SK,401
STERLING,SK,86
FREDONIA,SK,62
CASCADE,SK,59
DIGBY,SK,22
HARMONY,SK,180
PADILLA,SK,68
DUNBAR,SK,56
LA CONNER,SK,297
CEDARDALE,SK,112
BURLINGTON 3,SK,75
PRAIRIE,SK,286
RIVERBEND,SK,16
HAMBURG,SK,134
ANACORTES 11,SK,410
ALLEN,SK,112
ANACORTES 17,SK,527
CONWAY,SK,121
LITTLE MOUNTAIN,SK,127
GUEMES,SK,277
ALGER,SK,176
BLANCHARD,SK,292
DODGE VALLEY,SK,137
Total,SK,26411
