Row Label,County,Douglas J. Fair
MISTY,SN,211
EDMONDS 15,SN,169
EDMONDS 40,SN,207
EDMONDS 34,SN,235
EDMONDS 51,SN,223
ROYAL,SN,262
MEADOWCREST,SN,186
LYNNWOOD 33,SN,206
LUNDS GULCH,SN,81
MANORDALE,SN,182
PUGET PARK,SN,174
SPRUCE,SN,114
EDMONDS 30,SN,178
DUMAS,SN,190
DOUGLAS FIRS,SN,175
RUGGS LAKE,SN,209
EDMONDS  2,SN,227
EDMONDS  3,SN,257
EDMONDS  1,SN,218
EDMONDS  6,SN,280
EDMONDS  7,SN,263
PARKSHORE,SN,162
WAXON,SN,281
MAGNOLIA,SN,164
EDMONDS  4,SN,219
NILE,SN,0
RHODY RIDGE,SN,137
SUMMIT,SN,181
KEELER,SN,169
EAST SHORE,SN,189
GLENBAR,SN,141
STAFFORD,SN,128
CASCADE,SN,150
CRYSTAL CREEK,SN,120
MARTHA LAKE,SN,193
SILVER FIRS,SN,270
FILBERT,SN,254
EDMONDS 16,SN,166
COVE,SN,198
CRYSTAL,SN,202
MILL CREEK 18,SN,175
MILL CREEK 19,SN,292
GRANNIS,SN,188
MILL CREEK 14,SN,5
MILL CREEK 15,SN,211
MILL CREEK 16,SN,159
MILL CREEK 17,SN,222
MILL CREEK 10,SN,169
MILL CREEK 11,SN,153
MILL CREEK 12,SN,159
MILL CREEK 13,SN,196
CASCADIAN,SN,252
WINDROSE,SN,294
ALDER,SN,192
HIPOINT,SN,139
MILL CREEK  3,SN,142
MILL CREEK  2,SN,185
MILL CREEK  1,SN,241
EDMONDS 35,SN,191
MILL CREEK  7,SN,17
MILL CREEK  6,SN,264
MILL CREEK  5,SN,284
MILL CREEK  4,SN,162
HEARTHSTONE,SN,158
MILL CREEK  9,SN,218
MILL CREEK  8,SN,255
HUNT,SN,3
HEMLOCK,SN,287
COUNTRY,SN,145
EDMONDS 43,SN,257
FREEWAY,SN,217
PIONEER,SN,197
ELWOOD,SN,202
WOODGATE,SN,118
HOLLY,SN,220
EDMONDS 18,SN,210
EDMONDS 41,SN,159
EDMONDS  8,SN,295
LAURA,SN,236
HOLIDAY,SN,109
WOODWAY 1,SN,201
LYNNWOOD 25,SN,232
WOODWAY 2,SN,129
SAMOEA,SN,207
ROB,SN,138
EDMONDS 19,SN,243
EDMONDS 11,SN,241
EDMONDS 10,SN,258
EDMONDS 13,SN,261
EDMONDS 12,SN,136
MOUNTLAKE TERRACE  8,SN,192
HILL,SN,170
EDMONDS 17,SN,189
OLDMARK,SN,263
MOUNTLAKE TERRACE  4,SN,137
MOUNTLAKE TERRACE  5,SN,171
MOUNTLAKE TERRACE  6,SN,136
MOUNTLAKE TERRACE  7,SN,108
MOUNTLAKE TERRACE  1,SN,187
MOUNTLAKE TERRACE  2,SN,174
MOUNTLAKE TERRACE  3,SN,168
LYNNWOOD 23,SN,201
LYNNWOOD 22,SN,147
LYNNWOOD 21,SN,197
LYNNWOOD 20,SN,201
LYNNWOOD 26,SN,202
SHORE,SN,228
LYNNWOOD 24,SN,162
STICKNEY,SN,203
LYNNWOOD 29,SN,287
EMERALD,SN,199
GRAND FIRS,SN,266
AVALON,SN,106
EDMONDS 31,SN,241
POST,SN,211
EDMONDS  5,SN,152
KENTISH,SN,160
MOUNTLAKE TERRACE  9,SN,134
MANOR,SN,197
PUGET,SN,185
ELFIN,SN,112
KENNARD,SN,170
CYPRESS,SN,193
SHELBY,SN,166
WOODLAND,SN,87
EDMONDS 14,SN,166
LYNNWOOD 11,SN,198
EDMONDS 24,SN,157
EDMONDS 33,SN,199
NORTH CREEK,SN,181
EDMONDS 27,SN,175
EDMONDS 21,SN,287
EDMONDS 22,SN,202
EDMONDS 23,SN,268
NORTHROAD,SN,264
CRAWFORD,SN,57
FAIRWOOD,SN,99
LYNNWOOD 30,SN,226
LYNNWOOD 31,SN,121
LYNNWOOD 32,SN,0
SILVER CREEK,SN,156
LYNNWOOD 34,SN,107
EDMONDS 37,SN,214
NEWTON,SN,144
EDMONDS 25,SN,209
EDMONDS 36,SN,207
JEFFERSON,SN,150
FERNWOOD,SN,182
PACIFIC,SN,59
LYNNWOOD 28,SN,121
THRASHERS,SN,182
BEVERLY,SN,181
HILLTOP,SN,260
KNOX,SN,12
MARINER,SN,184
CHAPEL,SN,149
EDMONDS 39,SN,275
EDMONDS 38,SN,241
MAPLEWOOD,SN,174
MOUNTLAKE TERRACE 19,SN,196
MOUNTLAKE TERRACE 18,SN,210
MOUNTLAKE TERRACE 17,SN,271
MOUNTLAKE TERRACE 16,SN,156
MOUNTLAKE TERRACE 15,SN,166
MOUNTLAKE TERRACE 14,SN,226
MOUNTLAKE TERRACE 13,SN,223
MOUNTLAKE TERRACE 12,SN,200
MOUNTLAKE TERRACE 11,SN,183
MOUNTLAKE TERRACE 10,SN,271
EDMONDS  9,SN,158
ASH,SN,264
TERRACE,SN,46
SHADOW WOOD,SN,195
KATTENHORN,SN,284
EDMONDS 29,SN,233
VINE,SN,183
PIONEER TRAILS,SN,199
PICNIC POINT,SN,172
FIELD,SN,208
YORK,SN,230
EDMONDS 26,SN,153
WILLOWDALE,SN,233
EVERGREEN,SN,136
STONE GATE,SN,161
EDMONDS 48,SN,191
LARCH,SN,188
EDMONDS 46,SN,360
EDMONDS 47,SN,121
EDMONDS 44,SN,194
EDMONDS 45,SN,168
LOCUST,SN,197
KENWOOD,SN,192
OLYMPUS,SN,165
WALNUT,SN,144
SUNSET,SN,271
PINEWOOD,SN,188
DOGWOOD,SN,172
EDMONDS 50,SN,152
SOUTH ALDERWOOD,SN,266
WINGATE,SN,223
ANN,SN,171
BUTTERNUT,SN,199
DALE,SN,221
CLOVER,SN,158
SERENE,SN,186
REDHAWK,SN,259
JEFF,SN,165
ALICIA,SN,236
LYNNWOOD  5,SN,123
LYNNWOOD  4,SN,164
LYNNWOOD  7,SN,233
LYNNWOOD  6,SN,179
LYNNWOOD  1,SN,107
POPPY,SN,133
LYNNWOOD  2,SN,155
ATLAS,SN,236
SEATTLE HILL,SN,200
ALDERCREST,SN,44
LYNNWOOD  9,SN,239
LYNNWOOD  8,SN,148
ADMIRALTY,SN,150
QUEENS,SN,191
BRIER 8,SN,146
MILL CREEK 21,SN,116
MILL CREEK 20,SN,169
MILL CREEK 22,SN,146
BRIER 3,SN,315
BRIER 2,SN,159
BRIER 1,SN,207
BRIER 7,SN,155
BRIER 6,SN,147
BRIER 5,SN,260
BRIER 4,SN,224
GROVE,SN,248
WANDERING CREEK,SN,236
POPLAR,SN,104
FOREST,SN,212
EDMONDS 49,SN,185
OAKS,SN,250
EMANDER,SN,227
GIBSON,SN,157
MERIDIAN,SN,224
BERKSHIRE,SN,298
EDMONDS 42,SN,157
BROOK,SN,251
