Row Label,County,Brett J. Myers,Adam Assenberg
LAMONT IN(*),WT,0,0
ENDICOTT 147,WT,113,10
LACROSSE IN,WT,119,19
GARFIELD IN,WT,148,53
PULLMAN CITY 114,WT,12,12
PULLMAN 235,WT,351,78
FARMINGTON 103,WT,33,2
PULLMAN 234,WT,51,27
PULLMAN CITY 133(*),WT,0,0
COLFAX CITY 139,WT,223,31
PULLMAN CITY 127,WT,18,19
MALDEN IN,WT,41,15
PULLMAN CITY 125,WT,10,10
PULLMAN CITY 124,WT,19,14
PULLMAN CITY 123,WT,212,72
PULLMAN CITY 122,WT,92,52
PULLMAN CITY 121,WT,129,41
PULLMAN CITY 120,WT,537,131
UNIONTOWN 109,WT,63,3
TEKOA 101,WT,53,4
PULLMAN CITY 129,WT,39,32
PULLMAN CITY 128,WT,33,29
COLFAX RURAL 137,WT,248,23
DUSTY 143,WT,50,3
ALBION 112,WT,104,14
COLFAX CITY 142,WT,320,34
PULLMAN CITY 126,WT,16,10
COLTON 108,WT,101,4
COLFAX CITY 141,WT,189,14
WILCOX 138,WT,119,15
HAY 144,WT,21,4
PULLMAN 228,WT,12,10
ALBION IN,WT,140,31
COLFAX RURAL 136,WT,142,22
COLTON IN,WT,171,14
ROSALIA IN,WT,187,35
TEKOA IN,WT,188,38
MALDEN 150,WT,9,2
OAKESDALE IN,WT,165,25
ST JOHN IN,WT,201,26
LAMONT 148,WT,40,3
ROSALIA 151,WT,70,8
ST JOHN 149,WT,201,30
PULLMAN CITY 135,WT,166,72
ENDICOTT IN,WT,103,26
COLFAX CITY 140,WT,222,17
PULLMAN 218,WT,274,93
PULLMAN CITY 134,WT,8,21
OAKESDALE 102,WT,89,10
PULLMAN CITY 118,WT,258,59
PULLMAN CITY 119,WT,176,90
PULLMAN CITY 130,WT,50,24
PULLMAN CITY 131,WT,2,2
PULLMAN CITY 132,WT,0,0
PULLMAN RURAL 110,WT,370,67
PULLMAN RURAL 111,WT,107,16
THORNTON 152,WT,51,11
LACROSSE 146,WT,79,4
PULLMAN CITY 116,WT,344,115
PULLMAN CITY 117,WT,123,36
PALOUSE 107,WT,261,95
PULLMAN CITY 115,WT,6,3
PALOUSE RURAL 106,WT,168,19
UNIONTOWN IN,WT,89,16
HOOPER 145(*),WT,0,0
STEPTOE 104,WT,102,10
FARMINGTON IN,WT,61,17
PULLMAN CITY 113,WT,114,54
GARFIELD 105,WT,92,9
Total,WT,8343,1907
