Row Label,County,Mary E. Fairhurst
Ephrata 7 012,GR,224
Hartline Rural S 020,GR,18
Moses Lake 5 029,GR,221
Ephrata 9 013,GR,363
Beverly 002,GR,20
East Wahluke 061,GR,47
Royal City 044,GR,84
Moses Lake 2 067,GR,198
Marlin 024,GR,15
Lakeview Park 021,GR,188
Moses Lake 9  068,GR,218
Coulee City 005,GR,136
North Banks Lake 037,GR,46
Ephrata Rural E,GR,183
Moses Lake 7 033,GR,289
George 015,GR,27
Mae 023,GR,565
Ruff 045,GR,28
Cascade Valley 058,GR,394
Wilson Crk Rural 056,GR,23
Electric City 007,GR,235
Coulee Cty Rur N 072,GR,52
Moses Lake 1 066,GR,147
Smyrna 2 060,GR,16
Hartline 019,GR,38
Moses Lake 4 031,GR,217
Cascade Fairgrnd 004,GR,189
Warden 050,GR,141
Ephrata 5 008,GR,200
Quincy 4 040,GR,110
Ephrata 4 011,GR,304
Quincy 1 039,GR,204
Stratford 049,GR,30
Westslope 1 053,GR,67
McConihe 1 028,GR,123
Marlin Rural 025,GR,25
Coulee Cty Rur W 006,GR,60
Coulee Cty Rur E 062,GR,16
Moses Lake 6 032,GR,352
Wheeler 2 070,GR,387
Longview 022,GR,264
Greenfield 065,GR,41
Mattawa Rural 027,GR,288
Airport 2 057,GR,150
Soap Lake 1 047,GR,140
Airport 1 001,GR,181
Grand Coulee 018,GR,198
Moses Lake 12 036,GR,273
Gloyd 017,GR,182
Hartline Rural N 073,GR,21
Smyrna 1 046,GR,92
Westslope 2 059,GR,60
Moses Lake 3 030,GR,340
Mattawa 026,GR,32
O Sullivan Dam 2 069,GR,413
Soap Lake 2 052,GR,117
Quincy Rural S 064,GR,362
Ephrata Rural ,GR,163
Ephrata 3 010,GR,172
Wheeler 1 054,GR,143
Warden Rural 051,GR,258
George Rural 016,GR,349
McConihe 2 063,GR,93
Quincy 6 041,GR,309
Block 71 003,GR,355
Wilson Creek 055,GR,53
Quincy Rural N 042,GR,136
Moses Lake 8 034,GR,367
O Sullivan Dam 1 038,GR,331
Soap Lake Rur E ,GR,52
Royal Camp 043,GR,310
Total,GR,13338
Soap Lake Rur W ,GR,236
Ephrata 2 009,GR,230
Moses Lake 11 035,GR,427
