Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
DAMMAN,KS,180,65
VANTAGE,KS,13,7
PARK,KS,200,73
TEANAWAY,KS,154,61
ELLENSBURG 20,KS,54,16
CLE ELUM 4,KS,136,70
ELLENSBURG 22,KS,98,40
ELLENSBURG 23,KS,117,51
CLE ELUM 1,KS,90,49
ELLENSBURG 25,KS,210,57
CLE ELUM 3,KS,37,9
CLE ELUM 2,KS,59,22
SOUTH CLE ELUM,KS,98,61
FAIRVIEW,KS,113,41
RONALD,KS,78,29
NORTHEAST FAIRVIEW,KS,182,93
ELLENSBURG 24,KS,237,66
ELLENSBURG 9,KS,51,21
ELLENSBURG 8,KS,47,20
RIDGEWAY,KS,270,95
ELLENSBURG 1,KS,29,17
ELLENSBURG 2,KS,56,12
ELLENSBURG 5,KS,48,23
ELLENSBURG 4,KS,27,9
ELLENSBURG 7,KS,30,12
ELLENSBURG 6,KS,43,12
EAST SANDERS,KS,201,55
THRALL,KS,165,53
ELLENSBURG 21,KS,77,24
MOUNTAIN,KS,69,30
HYAK,KS,55,25
ROSLYN 1,KS,97,37
ROSLYN 2,KS,82,35
KITTITAS 1,KS,68,32
KACHESS,KS,60,20
MANASTASH,KS,139,57
DENMARK,KS,275,80
ROSLYN OUTLYING,KS,38,7
SOUTH ELLENSBURG,KS,263,49
DRY CREEK,KS,217,92
NORTH CENTRAL,KS,139,61
ELLENSBURG 11,KS,76,20
ELLENSBURG 10,KS,81,21
ELLENSBURG 13,KS,73,10
ELLENSBURG 12,KS,72,17
ELLENSBURG 15,KS,95,24
ELLENSBURG 14,KS,90,19
ELLENSBURG 17,KS,116,49
ELLENSBURG 16,KS,147,51
ELLENSBURG 19,KS,192,56
ELLENSBURG 18,KS,20,10
WESTSIDE,KS,211,88
EASTON,KS,155,106
PEOH POINT,KS,162,78
SANDERS,KS,78,24
KITTITAS 2,KS,87,34
NORTH ELLENSBURG,KS,235,82
THORP,KS,171,62
SWAUK,KS,105,47
Total,KS,6768,2486
