Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
ENDICOTT 147,WT,65,27
PULLMAN CITY 115(*),WT,0,0
LACROSSE IN,WT,77,32
PULLMAN CITY 131(*),WT,0,0
GARFIELD IN,WT,129,40
PULLMAN CITY 129,WT,53,18
PULLMAN 235,WT,321,64
FARMINGTON 103,WT,20,6
LAMONT IN,WT,16,2
PULLMAN CITY 133(*),WT,0,0
COLFAX CITY 139,WT,155,54
PULLMAN CITY 127,WT,21,10
MALDEN IN,WT,28,22
PULLMAN CITY 125,WT,13,5
PULLMAN CITY 124,WT,25,9
PULLMAN CITY 123,WT,210,39
PULLMAN CITY 122,WT,112,28
PULLMAN CITY 121,WT,133,22
PULLMAN CITY 120,WT,480,109
UNIONTOWN 109,WT,40,15
TEKOA 101,WT,27,14
PULLMAN CITY 114(*),WT,0,0
PULLMAN CITY 128,WT,49,13
COLFAX RURAL 137,WT,161,59
DUSTY 143,WT,34,4
ALBION 112,WT,74,15
COLFAX CITY 142,WT,205,58
PULLMAN CITY 126,WT,21,6
COLTON 108,WT,69,14
COLFAX CITY 141,WT,118,34
WILCOX 138,WT,84,24
HAY 144,WT,17,2
PULLMAN 228,WT,20,7
ALBION IN,WT,109,37
COLFAX RURAL 136,WT,95,31
COLTON IN,WT,116,34
ROSALIA IN,WT,134,58
TEKOA IN,WT,151,41
MALDEN 150,WT,6,2
HOOPER 145,WT,11,6
OAKESDALE IN,WT,126,32
ST JOHN IN,WT,133,43
LAMONT 148,WT,23,6
ROSALIA 151,WT,50,12
ST JOHN 149,WT,127,48
PULLMAN CITY 135,WT,184,42
ENDICOTT IN,WT,78,25
COLFAX CITY 140,WT,139,32
PULLMAN CITY 134,WT,17,11
OAKESDALE 102,WT,64,20
PULLMAN CITY 118,WT,240,51
PULLMAN CITY 119,WT,202,50
PULLMAN CITY 130,WT,57,19
PULLMAN 218,WT,270,74
PULLMAN CITY 132,WT,0,0
PULLMAN RURAL 110,WT,310,62
PULLMAN RURAL 111,WT,89,19
THORNTON 152,WT,44,6
LACROSSE 146,WT,45,10
PULLMAN CITY 116,WT,325,88
PULLMAN CITY 117,WT,122,34
PALOUSE 107,WT,217,69
PULLMAN 234,WT,54,16
PALOUSE RURAL 106,WT,124,36
UNIONTOWN IN,WT,69,24
STEPTOE 104,WT,68,19
FARMINGTON IN,WT,43,13
PULLMAN CITY 113,WT,126,36
GARFIELD 105,WT,59,12
Total,WT,6833,1880
