Row Label,County,Joe M Reynolds,Jim Hawkes
ENDICOTT 147,WT,78,37
LACROSSE IN,WT,106,33
PULLMAN CITY 131(*),WT,0,0
GARFIELD IN,WT,130,54
PULLMAN CITY 114,WT,7,12
PULLMAN 235,WT,130,220
FARMINGTON 103,WT,28,7
LAMONT IN,WT,13,4
PULLMAN 234,WT,18,41
PULLMAN CITY 133(*),WT,0,0
COLFAX CITY 139,WT,134,112
PULLMAN CITY 127,WT,8,17
MALDEN IN,WT,38,13
PULLMAN CITY 125,WT,2,11
PULLMAN CITY 124,WT,8,14
PULLMAN CITY 123,WT,62,153
PULLMAN CITY 122,WT,34,84
PULLMAN CITY 121,WT,49,91
PULLMAN CITY 120,WT,188,335
UNIONTOWN 109,WT,40,21
TEKOA 101,WT,39,16
PULLMAN CITY 129,WT,12,38
PULLMAN CITY 128,WT,16,37
COLFAX RURAL 137,WT,166,90
DUSTY 143,WT,36,14
ALBION 112,WT,45,56
COLFAX CITY 142,WT,178,156
PULLMAN CITY 126,WT,2,17
COLTON 108,WT,55,43
COLFAX CITY 141,WT,113,84
WILCOX 138,WT,82,49
HAY 144,WT,21,6
PULLMAN 228,WT,5,13
ALBION IN,WT,63,86
COLFAX RURAL 136,WT,108,51
COLTON IN,WT,87,84
ROSALIA IN,WT,121,81
TEKOA IN,WT,138,66
MALDEN 150,WT,6,3
HOOPER 145,WT,13,7
OAKESDALE IN,WT,131,40
ST JOHN IN,WT,141,74
LAMONT 148,WT,33,10
ROSALIA 151,WT,42,35
ST JOHN 149,WT,139,71
PULLMAN CITY 135,WT,62,111
ENDICOTT IN,WT,75,38
COLFAX CITY 140,WT,136,96
PULLMAN CITY 134,WT,4,12
OAKESDALE 102,WT,63,31
PULLMAN CITY 118,WT,92,167
PULLMAN CITY 119,WT,60,144
PULLMAN CITY 130,WT,7,54
PULLMAN 218,WT,108,192
PULLMAN CITY 132(*),WT,0,0
PULLMAN RURAL 110,WT,179,215
PULLMAN RURAL 111,WT,46,60
THORNTON 152,WT,37,22
LACROSSE 146,WT,64,16
PULLMAN CITY 116,WT,131,251
PULLMAN CITY 117,WT,50,90
PALOUSE 107,WT,153,134
PULLMAN CITY 115,WT,2,5
PALOUSE RURAL 106,WT,100,70
UNIONTOWN IN,WT,58,35
STEPTOE 104,WT,71,38
FARMINGTON IN,WT,51,19
PULLMAN CITY 113,WT,37,85
GARFIELD 105,WT,70,27
Total,WT,4523,4400
