Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
MILL CREEK,ST,80,46
KETTLE FALLS 1,ST,189,69
COLUMBIA,ST,244,137
ARDEN 1,ST,171,57
COLVILLE 1,ST,94,26
COLVILLE 2,ST,128,28
DAISY,ST,118,39
COLVILLE 4,ST,233,70
COLVILLE 5,ST,195,55
COLVILLE 6,ST,137,29
COLVILLE 7,ST,131,35
COLVILLE VALLEY,ST,345,89
STONE LODGE,ST,239,68
ECHO VALLEY,ST,119,49
LOON LAKE 2,ST,182,44
NARCISSE,ST,237,88
LOON LAKE 1,ST,327,64
COLVILLE 3,ST,113,35
CAMAS PRAIRIE,ST,125,57
EVANS,ST,128,44
SPRINGDALE,ST,38,24
MEYERS FALLS 2,ST,311,78
NORTHPORT,ST,60,23
SUMMIT,ST,147,66
KELLY HILL,ST,67,19
CLAYTON 2,ST,255,90
CLAYTON 1,ST,146,60
ARDEN 2,ST,207,68
MEYERS FALLS 1,ST,168,60
WAITTS LAKE,ST,207,96
WELLPINIT,ST,115,33
CHEWELAH 3,ST,130,51
HUNTERS,ST,216,88
ONION CREEK,ST,69,39
CHEWELAH 2,ST,70,34
CHEWELAH 1,ST,179,52
ECHO,ST,221,70
QUARTZITE 1,ST,337,113
QUARTZITE 2,ST,175,62
TUM TUM 5,ST,228,63
TUM TUM 4,ST,187,69
ROCK CUT,ST,40,25
TUM TUM 1,ST,134,54
TUM TUM 3,ST,323,114
TUM TUM 2,ST,288,78
MARCUS,ST,39,13
Total,ST,9627,3331
FIRST THOUGHT,ST,34,9
WALKERS PRAIRIE,ST,160,88
CAMAS,ST,172,89
ADDY,ST,235,79
WILLIAMS VALLEY,ST,303,106
ORIN 1,ST,162,41
ORIN 2,ST,177,66
KETTLE FALLS 2,ST,131,35
CHEWELAH FORE,ST,99,24
RICE,ST,96,54
VALLEY 1,ST,34,15
VALLEY 2,ST,132,54
