Row Label,County,Rob Freeby,Drew Ann Henke
29-620(*),PI,0,0
27-448,PI,12,5
27-449,PI,175,229
27-444,PI,148,220
27-445,PI,127,207
27-446,PI,154,185
27-447,PI,157,208
27-440,PI,156,250
27-441,PI,156,194
27-442,PI,117,150
27-443,PI,130,174
27-428,PI,133,243
27-429,PI,165,260
27-426,PI,206,242
27-427,PI,174,258
27-424,PI,174,298
27-425,PI,148,294
27-422,PI,250,326
27-423,PI,177,346
27-420,PI,192,357
27-421,PI,157,243
28-506,PI,208,309
28-507,PI,160,249
28-504,PI,203,273
28-505,PI,239,360
28-502,PI,217,319
28-503,PI,177,325
28-501,PI,233,275
28-508,PI,104,120
28-509,PI,0,0
27-459,PI,124,106
27-458,PI,103,154
27-453,PI,134,137
27-452,PI,169,179
27-451,PI,151,175
27-450,PI,196,221
27-457,PI,149,196
27-456,PI,133,153
27-455,PI,154,177
27-454,PI,195,221
27-439,PI,123,250
27-438,PI,126,232
27-435,PI,209,239
27-434,PI,176,233
27-437,PI,152,214
27-436,PI,173,249
27-431,PI,76,100
27-430,PI,198,219
27-433,PI,190,222
27-432,PI,175,242
29-626,PI,4,4
29-627,PI,0,0
29-624,PI,0,0
29-625,PI,4,2
29-622,PI,127,139
29-623,PI,37,33
27-408,PI,225,264
27-409,PI,235,232
27-404,PI,44,103
27-405,PI,200,300
27-406,PI,282,357
27-407,PI,216,224
29-601,PI,136,171
29-602,PI,125,152
29-603,PI,158,165
29-604,PI,155,179
29-605,PI,130,148
29-606,PI,183,199
29-607,PI,169,231
29-608,PI,139,153
29-609,PI,115,129
29-619,PI,143,190
29-618,PI,135,156
29-617,PI,139,197
29-616,PI,160,179
29-615,PI,174,232
29-614,PI,159,231
29-613,PI,182,189
29-612,PI,75,117
29-611,PI,45,35
29-610,PI,164,178
27-417,PI,193,310
27-416,PI,214,281
27-415,PI,267,277
27-414,PI,196,322
27-413,PI,220,252
27-412,PI,201,243
27-411,PI,322,278
27-410,PI,210,256
27-419,PI,167,309
27-418,PI,193,251
29-621(*),PI,0,0
27-462,PI,233,231
27-463,PI,148,196
27-460,PI,218,232
27-461,PI,244,240
27-466,PI,197,174
27-467,PI,197,170
27-464,PI,181,193
27-465,PI,184,153
27-468,PI,173,172
Total,PI,15853,20377
