Row Label,County,Terry R. Nealey,Frank Blair
ALTO,CU,51,17
TOUCHET,CU,126,41
STARBUCK COUNTRY,CU,22,3
STAR,CU,92,18
MUSTARD,CU,149,34
DAYTON,CU,165,48
PING,CU,169,20
BROOKLYN,CU,168,23
TUCANNON,CU,53,13
STARBUCK CITY,CU,60,8
COLUMBIA,CU,240,23
RAINWATER,CU,121,25
Total,CU,1543,317
PATIT,CU,127,44
