Row Label,County,Terry R. Nealey,Frank Blair
Legion,BE,189,92
Ridge,BE,0,0
Kiona,BE,325,119
Ivey,BE,149,56
450,BE,205,89
Cherry,BE,217,91
311,BE,0,0
Roe(*),BE,0,0
Oak,BE,104,45
Rattlesnake,BE,51,13
South,BE,174,52
Randy,BE,97,32
Bobbie,BE,0,0
Paterson,BE,14,4
Riverside,BE,230,77
Kennewick Valley,BE,196,78
Chandler,BE,37,9
Buena Vista,BE,329,107
Wheat,BE,0,0
El Rancho,BE,367,81
Hedges,BE,174,52
Walnut Grove,BE,113,72
Benton South,BE,161,93
Yakima(*),BE,0,0
Salmon,BE,49,14
Canyon,BE,240,53
French,BE,27,10
Finley,BE,318,110
Pearson(*),BE,0,0
Prosser North,BE,212,71
Carley(*),BE,0,0
Cook,BE,12,4
Mills,BE,246,106
Vineyard(*),BE,0,0
White Bluffs,BE,328,72
Black Rock(*),BE,0,0
465,BE,217,83
Apricot,BE,52,14
Benton East,BE,0,0
Horse Heaven,BE,29,9
460,BE,198,56
455,BE,162,87
Reata,BE,186,51
Cascade,BE,190,55
Expansion(*),BE,0,0
Goose Ridge,BE,61,11
Reese,BE,37,2
Susie,BE,33,2
McBee(*),BE,0,0
Red Mountain,BE,196,70
Dot,BE,108,30
Ida,BE,0,0
Benton North,BE,238,122
Jewel,BE,37,6
Tumble Weed,BE,48,10
(none),BE,246,33
Washington,BE,83,30
Sacagawea(*),BE,0,0
Crow Butte(*),BE,0,0
470,BE,148,58
W3-P511,BE,11,12
Celilo,BE,263,81
Cone,BE,133,46
Roza,BE,0,0
Demoss,BE,13,5
Edgewater,BE,174,55
Onion(*),BE,0,0
Total,BE,7705,2569
Badger,BE,205,35
