Row Label,County,Doug Lasher,Lauren Colas
669,CR,260,296
668,CR,352,267
667,CR,259,189
664,CR,276,290
663,CR,232,155
662,CR,297,293
660,CR,345,227
130,CR,441,178
571,CR,234,297
490,CR,236,232
491,CR,26,22
626,CR,259,263
692,CR,286,305
693,CR,146,179
690,CR,332,275
691,CR,268,277
696,CR,365,307
697,CR,366,344
694,CR,116,93
695,CR,318,289
698,CR,236,306
699,CR,251,270
450,CR,410,303
540,CR,279,408
340,CR,335,238
400,CR,224,106
595(*),CR,0,0
930,CR,271,331
452,CR,327,211
935,CR,281,323
570,CR,297,288
678,CR,245,187
679,CR,220,156
674,CR,296,208
675,CR,234,177
677,CR,339,264
670,CR,358,255
672,CR,256,214
455,CR,229,194
120,CR,453,229
575,CR,68,108
914,CR,245,332
917,CR,210,178
528,CR,218,367
910,CR,259,258
537,CR,95,139
415,CR,266,164
535,CR,277,477
410,CR,428,263
913,CR,308,351
298,CR,191,166
530,CR,128,144
296,CR,219,188
370,CR,223,197
294,CR,195,182
912,CR,273,202
925,CR,249,261
290,CR,315,248
538,CR,92,210
591,CR,358,465
590,CR,342,432
593,CR,273,374
592,CR,341,417
594,CR,8,12
597,CR,26,49
200,CR,420,176
598,CR,9,10
629,CR,234,262
700,CR,48,55
190,CR,393,245
985,CR,250,221
390,CR,366,289
110,CR,446,190
113,CR,194,105
112,CR,36,18
250,CR,420,251
536,CR,150,208
628,CR,268,309
524,CR,31,41
525,CR,164,238
527,CR,227,287
520,CR,145,196
521,CR,6,7
522,CR,103,118
523,CR,2,19
420,CR,353,213
423,CR,255,174
255,CR,336,219
425,CR,233,205
424,CR,363,273
360,CR,345,265
426,CR,424,322
586,CR,207,269
587,CR,191,284
449,CR,464,315
448,CR,399,304
582,CR,164,285
583,CR,171,297
580,CR,188,221
581,CR,107,174
441,CR,286,281
440,CR,348,252
447,CR,359,369
446,CR,256,298
445,CR,385,328
444,CR,479,278
245,CR,367,265
920,CR,230,259
108,CR,427,147
240,CR,411,314
102,CR,304,154
100,CR,489,162
615,CR,121,155
106,CR,381,149
649,CR,219,257
104,CR,425,188
903,CR,312,249
900,CR,260,279
905,CR,255,349
641,CR,114,114
640,CR,282,266
643,CR,265,242
642,CR,124,134
645,CR,343,347
644,CR,354,262
647,CR,207,203
646,CR,138,130
436,CR,186,143
510,CR,188,227
434,CR,223,198
435,CR,224,194
515,CR,308,374
430,CR,209,195
588,CR,143,179
579,CR,14,7
578,CR,32,26
627,CR,253,292
338,CR,267,287
625,CR,272,348
624,CR,48,83
335,CR,240,206
451,CR,326,238
337,CR,298,234
453,CR,317,221
577,CR,285,479
330,CR,311,262
456,CR,446,347
574,CR,19,8
600,CR,98,211
175,CR,237,144
257,CR,339,230
170,CR,315,154
543,CR,252,360
654,CR,202,185
656,CR,147,148
710,CR,134,114
180,CR,259,181
655,CR,275,225
652,CR,291,210
653,CR,246,215
650,CR,329,213
651,CR,204,199
505,CR,359,357
502,CR,261,256
503,CR,170,270
500,CR,325,321
659,CR,296,275
630,CR,234,211
631,CR,363,260
632,CR,142,158
633,CR,263,226
634,CR,235,259
635,CR,203,220
636,CR,219,256
560,CR,314,281
639,CR,268,216
545,CR,180,251
460,CR,463,330
566,CR,177,215
225,CR,525,266
160,CR,290,143
220,CR,241,178
964,CR,281,328
965,CR,258,309
966,CR,144,250
967,CR,158,204
960,CR,319,344
961,CR,48,57
962,CR,173,277
963,CR,251,185
968,CR,279,207
969,CR,172,165
658,CR,262,252
720,CR,198,240
947,CR,241,236
605,CR,200,379
150,CR,227,124
153,CR,221,173
606,CR,44,74
395,CR,121,65
603,CR,122,265
555,CR,368,329
550,CR,365,358
553,CR,302,237
584,CR,205,300
681,CR,238,216
959,CR,14,18
958,CR,45,55
951,CR,315,196
950,CR,270,267
953,CR,136,115
957,CR,44,82
638,CR,265,219
327,CR,301,318
585,CR,269,414
325,CR,231,204
620,CR,284,387
147,CR,267,213
618,CR,280,367
563,CR,281,335
613,CR,117,168
610,CR,362,445
617,CR,225,347
565,CR,219,250
511,CR,15,16
648,CR,272,202
487,CR,121,162
485,CR,196,251
673,CR,361,275
483,CR,432,399
573,CR,302,422
480,CR,446,360
686,CR,228,187
432,CR,253,178
576,CR,3,3
940,CR,275,264
680,CR,267,220
470,CR,481,278
689,CR,281,293
688,CR,253,227
350,CR,281,196
685,CR,80,75
687,CR,249,248
Total,CR,61251,56708
572,CR,332,399
596(*),CR,0,0
683,CR,306,227
682,CR,280,221
