Row Label,County,Audrey McLean
ALTO,CU,56
TOUCHET,CU,144
STARBUCK COUNTRY,CU,18
STAR,CU,91
MUSTARD,CU,151
DAYTON,CU,180
PING,CU,159
BROOKLYN,CU,160
TUCANNON,CU,57
STARBUCK CITY,CU,61
COLUMBIA,CU,222
RAINWATER,CU,123
Total,CU,1559
PATIT,CU,137
