Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Washtucna City #1,AD,58,27
Batum,AD,40,21
Hatton Rural(*),AD,0,0
Othello Rural #1,AD,53,18
Ralston,AD,19,7
Hatton City,AD,12,3
Othello Rural #6,AD,107,36
Othello Rural #4,AD,107,24
Othello Rural #5,AD,68,19
Ritzville Rural NW,AD,84,18
Fairview,AD,20,3
Benge,AD,13,3
Ritzville Rural SE,AD,70,20
Ritzville Ward #5,AD,87,11
Ritzville Ward #4,AD,76,29
Ritzville Ward #1,AD,57,30
Ritzville Ward #3,AD,89,36
Ritzville Ward #2,AD,65,11
Schrag,AD,19,10
Othello Rural #2,AD,61,28
Othello Rural #3,AD,134,42
Othello City #2,AD,128,41
Othello City #3,AD,131,22
Othello City #1,AD,15,7
Othello City #6,AD,68,20
Othello City #4,AD,140,30
Othello City #5,AD,124,32
Cunningham(*),AD,0,0
Lind #1,AD,91,48
Washtucna Rural,AD,32,8
Lind Rural,AD,42,11
Total,AD,2036,622
