Row Label,County,Kristian E. Hedine
Yellowhawk 58,WL,27
Touchet 5 56,WL,5
CP 3 63,WL,348
Spruce 24,WL,159
Birch 05,WL,168
Baumeister 04,WL,281
Jefferson 13,WL,405
Ice Harbor 34,WL,286
Alder 02,WL,129
Eureka 4 43,WL,2
Waitsburg 65,WL,360
Lincoln 49,WL,47
CP 1 61,WL,370
Watertown 29,WL,171
Frenchtown 4 45,WL,38
Ritz 53,WL,406
CP 2 62,WL,273
Frenchtown 5 44,WL,157
Alderbrook 01,WL,161
Baker 33,WL,74
Edison 08,WL,214
Pine 21,WL,134
Mill Creek 50,WL,174
Sharpstein 23,WL,175
Gose 47,WL,79
CP 5 67,WL,308
Henderson 11,WL,191
Burbank 38,WL,390
Garfield 09,WL,230
Washington 60,WL,111
Garrison 46,WL,172
Berney 35,WL,190
Isaacs 12,WL,142
Paine 20,WL,88
Pleasant 22,WL,371
Wallula 59,WL,20
Monroe 18,WL,435
Ash 03,WL,291
Dixie 41,WL,182
Touchet 4 55,WL,233
CP 6 68,WL,56
Blalock 36,WL,324
Stadium 25,WL,166
Clyde 39,WL,20
CP 4 66,WL,406
Pros Point 52,WL,695
Wainwright 28,WL,339
Moore 51,WL,181
Eureka 5 42,WL,46
Derry 40,WL,116
College 07,WL,185
Prescott 64,WL,72
Green Park 10,WL,127
Twin Grove 57,WL,163
Tausick 26,WL,177
Marcus 17,WL,500
Braden 37,WL,358
McNary 54,WL,180
Maple 16,WL,375
Total,WL,12842
Abbott 31,WL,235
Clark 06,WL,124
