Row Label,County,Mike Sando,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Drew Stokesbary
NEUWAUKUM,KI,62,356,15,199,0,0,122
ENM 31-3248,KI,188,732,21,442,0,0,233
FALCON,KI,101,456,29,288,0,0,158
CHINOOK,KI,138,671,21,357,0,0,198
WYNOCHE,KI,74,397,18,257,0,0,165
GREEN VALLEY,KI,63,370,18,223,0,0,142
AUB 31-3299,KI,35,248,9,155,0,0,111
HANSEN,KI,98,505,12,308,0,1,197
ENM 31-0413,KI,150,655,22,363,0,0,191
ENM 31-0411,KI,168,765,22,410,0,0,220
AUB 31-0078,KI,94,404,23,193,0,1,75
ENM 31-0417,KI,73,249,9,143,0,0,61
AUB 31-0058,KI,76,290,9,172,0,0,87
ENM 31-0415,KI,58,259,8,142,0,1,75
SIERRA,KI,140,690,28,373,0,1,204
AUB 31-0054,KI,102,527,14,214,0,0,98
ENM 31-0419,KI,100,480,13,231,0,0,118
AUB 31-0070,KI,113,655,12,267,0,0,142
AUB 31-3335,KI,143,732,24,351,0,1,183
AUB 31-0050,KI,83,421,11,188,0,1,93
ENM 31-0416,KI,182,695,21,402,0,1,198
LINCOLN,KI,68,312,9,168,0,0,91
ENM 31-0410,KI,114,644,14,297,0,1,168
WHITE RIVER,KI,104,597,38,337,0,0,195
ENM 31-0418,KI,149,565,23,322,0,0,150
OSCEOLA,KI,138,557,13,336,0,1,184
WABASH,KI,58,320,14,189,0,0,117
DIAMOND,KI,19,227,10,120,0,1,90
AUB 31-0082,KI,94,403,12,203,0,2,95
AUB 31-0083,KI,99,487,21,229,0,0,109
AUB 31-0080,KI,125,830,23,414,0,1,265
AUB 31-0081,KI,69,457,15,199,0,0,115
ENM 31-3247,KI,128,682,26,323,0,0,169
ENM 31-3246,KI,52,264,10,127,0,0,65
AUB 31-0048,KI,26,210,9,78,0,0,43
AUB 31-3405,KI,107,662,18,322,0,0,197
ENM 31-3492,KI,75,333,13,164,0,0,76
MADISON,KI,44,305,4,157,0,0,109
AUB 31-0049,KI,106,450,14,195,0,3,72
AUB 31-0051,KI,81,530,7,166,0,0,78
HOLM LAKE,KI,117,710,30,415,0,0,268
AUB 31-0042,KI,85,509,17,240,0,0,138
AUB 31-0069,KI,74,314,10,159,0,0,75
AUB 31-0047,KI,119,574,14,264,0,2,129
MONEYSMITH,KI,114,669,20,390,0,1,255
BRINN,KI,165,848,41,513,0,1,306
ENM 31-0409,KI,95,379,17,196,0,0,84
AUB 31-0062,KI,136,660,23,332,0,2,171
AUB 31-0063,KI,55,279,6,130,0,0,69
AUB 31-0064,KI,59,408,10,125,0,0,56
AUB 31-0065,KI,67,288,10,125,0,0,48
MUCKLESHOOT,KI,36,395,2,54,0,0,16
