Row Label,County,Eddie Yoon,Charles W. Johnson
Ephrata 7 012,GR,72,182
Hartline Rural S 020,GR,3,20
Moses Lake 5 029,GR,77,175
Ephrata 9 013,GR,115,316
Beverly 002,GR,14,15
East Wahluke 061,GR,14,65
Royal City 044,GR,26,72
Moses Lake 2 067,GR,68,154
Marlin 024,GR,3,15
Lakeview Park 021,GR,58,173
Moses Lake 9  068,GR,61,219
Coulee City 005,GR,41,129
North Banks Lake 037,GR,12,53
Ephrata Rural E,GR,56,170
Moses Lake 7 033,GR,105,239
George 015,GR,20,14
Mae 023,GR,162,515
Ruff 045,GR,8,29
Cascade Valley 058,GR,114,349
Wilson Crk Rural 056,GR,9,15
Electric City 007,GR,66,211
Coulee Cty Rur N 072,GR,12,48
Moses Lake 1 066,GR,42,144
Smyrna 2 060,GR,7,12
Hartline 019,GR,9,43
Moses Lake 4 031,GR,69,182
Cascade Fairgrnd 004,GR,53,152
Warden 050,GR,40,118
Ephrata 5 008,GR,40,190
Quincy 4 040,GR,34,86
Ephrata 4 011,GR,74,271
Quincy 1 039,GR,63,164
Stratford 049,GR,5,28
Westslope 1 053,GR,23,55
McConihe 1 028,GR,42,119
Marlin Rural 025,GR,6,24
Coulee Cty Rur W 006,GR,19,55
Coulee Cty Rur E 062,GR,4,17
Moses Lake 6 032,GR,99,307
Wheeler 2 070,GR,91,389
Longview 022,GR,79,230
Greenfield 065,GR,9,31
Mattawa Rural 027,GR,112,271
Airport 2 057,GR,46,124
Soap Lake 1 047,GR,46,117
Airport 1 001,GR,46,173
Grand Coulee 018,GR,63,169
Moses Lake 12 036,GR,69,254
Gloyd 017,GR,53,190
Hartline Rural N 073,GR,6,23
Smyrna 1 046,GR,26,74
Westslope 2 059,GR,10,53
Moses Lake 3 030,GR,112,309
Mattawa 026,GR,15,24
O Sullivan Dam 2 069,GR,108,387
Soap Lake 2 052,GR,37,104
Quincy Rural S 064,GR,102,338
Ephrata Rural ,GR,47,169
Ephrata 3 010,GR,56,146
Wheeler 1 054,GR,31,138
Warden Rural 051,GR,72,241
George Rural 016,GR,82,331
McConihe 2 063,GR,42,97
Quincy 6 041,GR,89,282
Block 71 003,GR,90,357
Wilson Creek 055,GR,25,39
Quincy Rural N 042,GR,44,129
Moses Lake 8 034,GR,104,321
O Sullivan Dam 1 038,GR,93,289
Soap Lake Rur E ,GR,28,51
Royal Camp 043,GR,97,272
Total,GR,3901,12115
Soap Lake Rur W ,GR,58,224
Ephrata 2 009,GR,43,236
Moses Lake 11 035,GR,125,388
