Row Label,County,James (Jim) Jeffords
CLARKSTON #2,AS,181
SWALLOWS NEST,AS,344
WEST CLARKSTON #1,AS,218
WEST CLARKSTON #2,AS,221
WEST CLARKSTON #3,AS,270
ASOTIN #1,AS,171
ASOTIN #2,AS,175
SOUTH CLARKSTON #1,AS,209
SOUTH CLARKSTON #2,AS,261
W ASOTIN,AS,143
CLARKSTON #6,AS,201
CLARKSTON #7,AS,120
RURAL ASOTIN,AS,131
CLARKSTON #4,AS,182
Total,AS,5687
ANATONE,AS,117
CLARKSTON #3,AS,162
CLARKSTON HTS #4,AS,246
CLARKSTON #8,AS,178
CLARKSTON HTS #3,AS,103
CLARKSTON HTS #2,AS,430
CLARKSTON HTS #1,AS,254
CLARKSTON #5,AS,122
CLARKSTON HTS #7,AS,288
CLARKSTON HTS #6,AS,379
CLARKSTON HTS #5,AS,440
CLARKSTON #1,AS,141
