Row Label,County,Kevin M. Korsmo
Usk,PE,115
Diamond Lk East,PE,81
Sacheen,PE,162
Diamond Lk,PE,234
Diamond Lk West,PE,99
Noble,PE,198
Furport,PE,157
Deer Valley South,PE,49
Cusick,PE,79
Ione East,PE,105
Kalispel Leclerc,PE,106
Tiger Dry Canyon,PE,204
Ruby,PE,19
Ione West,PE,123
Newport NE,PE,167
Metaline,PE,55
Newport SE,PE,82
Skookum,PE,45
Newport NW,PE,148
Newport SW,PE,127
Dalkena,PE,180
Deer Valley North,PE,133
Locke,PE,26
Fertile Valley South,PE,116
Fertile Valley North,PE,105
Camden,PE,89
Total,PE,3116
Metaline Falls,PE,112
