Row Label,County,Graham Hunt,Greg Hartman
Yelm 1,TH,162,130
Eaton Creek,TH,139,82
Yelm 2,TH,194,109
Smith Prairie,TH,274,139
Yelm 4,TH,223,132
Mcallister Creek,TH,143,125
Tri Lakes,TH,101,91
Longmire,TH,140,76
Yelm 3,TH,229,110
Montgomery,TH,84,86
Summerset,TH,297,257
Pleasant Hill,TH,215,142
Forest,TH,242,229
Four Corners,TH,301,223
Cougar Mountain,TH,40,41
Thompson,TH,88,104
Meadows,TH,161,123
Sunwood Lakes,TH,292,258
Mullen,TH,210,186
Lydia Hawk,TH,287,248
Marvin,TH,221,165
Rainier 01,TH,164,107
Rainier 02,TH,119,83
Evergreen Ballroom,TH,238,183
Skokomish,TH,151,125
St Clair,TH,225,129
Fristoe,TH,148,88
Berry Valley,TH,138,143
Morris,TH,247,146
University North,TH,93,49
Mushroom Corner,TH,163,145
Ruth Prairie,TH,92,63
Deschutes,TH,250,167
Hartwood,TH,366,248
Fleetwood,TH,238,201
Fair Oaks,TH,121,125
Total,TH,7851,5967
Hawks Ridge,TH,60,69
Weir Prairie,TH,193,152
Pines,TH,160,100
University South,TH,97,96
Trailblazer,TH,57,65
Deerbrush,TH,202,155
Lackamas,TH,43,88
Nisqually,TH,141,126
Medicine Creek,TH,102,58
