Row Label,County,Tom Brown
SHERMAN,FE,127
REPUBLIC 2,FE,143
REPUBLIC 1,FE,152
LAMBERT,FE,56
HALL CREEK,FE,64
CURLEW,FE,20
STORM KING,FE,155
TORODA,FE,77
BOYDS,FE,89
MALO,FE,117
SOUTH LAKE,FE,109
KETTLE RIVER,FE,151
KEWA,FE,67
BELCHER,FE,70
KELLER,FE,89
TROUT CREEK,FE,182
Total,FE,1973
ORIENT,FE,74
SAN POIL,FE,172
INCHELIUM,FE,59
