Row Label,County,Maureen S. Walsh,Mary Ruth Edwards
Pct 020,FR,43,31
Pct 021,FR,27,16
Pct 008,FR,161,54
Pct 009,FR,41,24
Pct 024,FR,84,61
Pct 025,FR,37,28
Pct 026,FR,71,40
Pct 027,FR,42,33
Pct 002,FR,65,35
Pct 003,FR,27,25
Pct 001,FR,108,85
Pct 006,FR,74,34
Pct 007,FR,55,45
Pct 004,FR,45,31
Pct 005,FR,46,22
Pct 061,FR,141,87
Pct 036,FR,174,117
Pct 031,FR,45,33
Pct 030,FR,26,32
Pct 019,FR,96,74
Pct 018,FR,38,22
Pct 015,FR,70,45
Pct 014,FR,61,31
Pct 017,FR,75,47
Pct 016,FR,12,6
Pct 011,FR,62,38
Pct 010,FR,85,38
Pct 013,FR,52,23
Pct 012,FR,48,28
Pct 028,FR,46,32
Pct 029,FR,56,40
Total,FR,2013,1257
