Row Label,County,Sherry V. Appleton,Scott Henden
LEMOLO 435,KP,219,217
MEADOWDALE 150,KP,166,208
BELLA VISTA 413,KP,217,214
CLEAR CREEK 120,KP,197,254
AUGUSTA 461,KP,204,92
BROWNSVILLE 105,KP,315,347
WINSLOW 304,KP,708,158
UNIVERSITY POINT 142,KP,168,167
SANDY HOOK 464,KP,225,143
BARKER CREEK 147,KP,284,283
ISLAND CENTER 320,KP,368,110
PORT GAMBLE 450,KP,269,243
REGAL 131,KP,63,68
POULSBO 405,KP,337,196
POULSBO 404,KP,333,246
POULSBO 407,KP,232,202
POULSBO 406,KP,356,283
POULSBO 401,KP,336,306
POULSBO 403,KP,261,201
ILLAHEE 065,KP,281,267
TRACYTON 170,KP,185,170
OLYMPIC 099,KP,35,25
GILBERTON 140,KP,199,207
STRIEBEL 453,KP,282,257
AZALEA 302,KP,498,115
FOREST RIDGE 126,KP,141,154
FAIRVIEW 135,KP,118,179
RAINIER 067,KP,275,253
GAMBLEWOOD 454,KP,173,172
CENTRAL VALLEY 128,KP,258,269
LUOTO 122,KP,101,169
BLAKELY 310,KP,382,98
MORKEN 161,KP,300,368
KARIOTIS 143,KP,256,228
COTTONWOOD 125,KP,228,200
ORCA 421,KP,212,162
TWIN SPITS 417,KP,357,247
MEADOWMEER 321,KP,182,55
WINSTON 129,KP,114,106
RIDGETOP 149,KP,166,191
KINGSTON 430,KP,422,331
VENA 173,KP,228,196
BREMERTON 041,KP,224,132
BREMERTON 040,KP,269,144
BREMERTON 046,KP,256,170
SILVERDALE 160,KP,260,254
BIG VALLEY 441,KP,191,198
BLUE HERON 301,KP,632,124
TRIDENT 101,KP,31,74
SYLVAN 066,KP,291,173
HANSVILLE 415,KP,176,183
LOFALL 442,KP,373,346
POINT JEFFERSON 419,KP,245,183
WOODMERE 127,KP,264,304
BREMERTON 058,KP,271,178
BREMERTON 054,KP,151,96
BREMERTON 056,KP,217,157
BREMERTON 052,KP,168,134
BREMERTON 053,KP,320,240
ISLAND LAKE 427,KP,215,243
BREIDABLIK 410,KP,271,240
TORVANGER 345,KP,499,158
LOVGREN 332,KP,228,90
FORT WARD 318,KP,424,126
FUSON 175,KP,200,236
FINCH 314,KP,314,100
ROLLING BAY 330,KP,413,127
TOTTEN 463,KP,267,141
EVERGREEN RIDGE 426,KP,98,100
MANZANITA 336,KP,305,77
OLD FRONTIER 106,KP,227,350
EAGLE HARBOR 317,KP,314,81
NEW BROOKLYN 322,KP,283,62
TOLO 333,KP,353,120
FERNCLIFF 315,KP,558,159
S&#39;KLALLAM 418,KP,41,2
SANTA FE 148,KP,187,217
FIRGLADE 137,KP,143,176
INDIANOLA 420,KP,497,167
KEYPORT 425,KP,270,335
SCANDIA 455,KP,226,302
PORT MADISON 340,KP,311,101
POINT NO POINT 416,KP,459,334
VINLAND 412,KP,304,295
LINCOLN 440,KP,215,241
SUTTON 165,KP,148,165
APPLE TREE 422,KP,331,236
HIGHLAND 423,KP,155,155
RIDGEPOINT 141,KP,171,195
PERRY 073,KP,156,132
CRYSTAL SPRINGS 312,KP,567,160
SPINNAKER 146,KP,176,155
FRONTIER 102,KP,232,338
WING POINT 305,KP,309,129
PEARSON 445,KP,310,374
SKIFF POINT 328,KP,361,88
SEABOLD 335,KP,453,164
TIBARDIS 139,KP,101,117
LIBERTY 325,KP,374,99
SUQUAMISH 460,KP,282,104
CAMBRIDGE 144,KP,140,177
BUCKLIN 121,KP,262,268
MILLER BAY 458,KP,345,288
BREMERTON 159,KP,139,129
OLYMPIC VIEW 103,KP,177,216
Total,KP,27801,19716
