Row Label,County,Repealed,Maintained
31-900,PI,142,145
29-680,PI,196,184
31-902,PI,252,329
31-903,PI,5,4
31-904,PI,44,33
31-905,PI,189,195
31-906,PI,122,103
31-907,PI,169,163
31-908,PI,133,143
31-909,PI,185,114
29-640,PI,233,152
29-641,PI,218,183
29-642,PI,247,215
29-643,PI,28,12
29-648,PI,6,3
29-649,PI,65,57
25-239,PI,273,301
25-238,PI,148,129
31-901,PI,22,25
25-235,PI,11,7
25-236,PI,227,161
25-230,PI,76,60
28-588,PI,295,214
28-589,PI,292,221
28-586,PI,245,192
28-587,PI,201,130
28-584,PI,198,123
28-585,PI,325,216
28-582,PI,105,80
28-583,PI,175,142
28-580,PI,46,34
28-581,PI,156,143
25-280,PI,271,311
25-281,PI,186,178
25-282,PI,260,289
02-149,PI,310,263
25-284,PI,138,127
25-285,PI,328,388
25-286,PI,264,242
25-287,PI,3,3
25-288,PI,249,280
25-289,PI,0,0
02-140,PI,294,254
02-141,PI,275,249
02-146,PI,215,178
02-147,PI,210,194
02-144,PI,234,228
02-145,PI,301,219
27-439,PI,174,267
27-438,PI,201,227
27-435,PI,234,260
27-434,PI,198,252
27-437,PI,207,218
27-436,PI,193,291
27-431,PI,96,102
27-430,PI,223,280
27-433,PI,215,270
27-432,PI,242,266
26-339,PI,31,66
26-338,PI,174,337
26-333,PI,266,346
26-332,PI,207,314
26-331,PI,57,116
26-330,PI,174,214
26-337,PI,311,339
26-336,PI,282,381
26-335,PI,182,288
26-334,PI,222,369
28-515,PI,236,422
28-517,PI,293,336
28-516,PI,259,340
25-237(*),PI,0,0
28-519,PI,239,342
28-518,PI,242,315
31-869,PI,91,105
31-865,PI,61,61
31-861,PI,58,48
26-348,PI,246,314
26-349,PI,259,304
26-346,PI,190,277
26-347,PI,213,259
26-344,PI,19,49
26-345,PI,193,344
26-342,PI,268,369
26-343,PI,197,334
26-340,PI,292,392
26-341,PI,239,324
25-271,PI,267,270
25-270,PI,252,295
25-273,PI,173,206
25-272,PI,236,326
25-274,PI,278,375
25-277,PI,294,236
25-276,PI,6,12
25-279,PI,204,242
25-278,PI,82,108
29-682,PI,234,167
29-683,PI,213,205
31-923,PI,144,142
29-619,PI,223,168
29-618,PI,209,136
29-617,PI,202,210
29-616,PI,231,179
29-615,PI,239,231
29-614,PI,246,216
29-613,PI,228,222
29-612,PI,96,122
29-611,PI,52,46
29-610,PI,201,184
28-559,PI,229,280
28-558,PI,203,225
28-551,PI,320,370
28-550,PI,205,196
28-553,PI,283,303
28-552,PI,292,315
28-555,PI,312,332
28-554,PI,252,333
28-557,PI,222,236
28-556,PI,251,203
02-115,PI,222,167
02-114,PI,144,124
02-117,PI,271,219
02-116,PI,253,263
02-111,PI,205,188
25-291,PI,74,43
02-113,PI,185,138
02-112,PI,146,140
02-143,PI,227,162
25-290,PI,22,32
02-119,PI,167,116
02-118,PI,162,142
31-823,PI,157,132
31-822,PI,144,171
31-827,PI,47,71
31-826,PI,191,248
31-825,PI,177,189
31-829,PI,159,180
31-828,PI,167,187
26-302,PI,313,486
26-303,PI,299,409
26-301,PI,74,138
26-304,PI,352,461
26-305,PI,331,424
31-892,PI,140,140
31-890,PI,119,108
27-471,PI,4,13
31-891,PI,72,64
27-475,PI,170,298
27-477,PI,240,289
27-476,PI,132,231
31-896,PI,5,2
31-897,PI,95,111
31-894,PI,23,30
31-895,PI,173,164
31-856,PI,161,180
31-857,PI,116,102
31-854,PI,102,90
31-855,PI,141,122
31-853,PI,41,38
31-919,PI,193,164
31-917,PI,241,286
31-916,PI,196,148
31-915,PI,43,28
31-914,PI,136,144
31-913,PI,75,93
31-912,PI,165,102
31-911,PI,89,127
31-910,PI,169,177
29-653,PI,204,198
29-652,PI,21,23
29-651,PI,268,224
29-650,PI,205,188
29-657,PI,3,2
29-656,PI,201,184
29-655,PI,79,106
29-654,PI,244,221
29-659,PI,151,113
29-658,PI,248,185
25-208,PI,294,359
25-209,PI,282,302
25-201,PI,280,348
25-202,PI,249,243
25-203,PI,274,297
25-204,PI,246,237
25-205,PI,268,267
25-206,PI,184,154
28-590,PI,7,12
29-626,PI,4,7
29-627,PI,0,0
29-624,PI,0,0
29-625,PI,4,4
29-622,PI,157,144
29-623,PI,57,30
29-620,PI,118,104
02-159,PI,159,159
02-158,PI,238,197
02-151,PI,92,80
02-150,PI,226,217
02-153,PI,231,216
02-152,PI,323,243
02-155,PI,287,248
02-154,PI,229,203
02-157,PI,312,305
02-156,PI,333,309
27-408,PI,264,304
27-409,PI,264,257
27-401,PI,110,169
27-404,PI,51,121
27-405,PI,247,324
27-406,PI,283,444
