Row Label,County,Rick Scott
Montesano 601,GY,551
Riviera 050,GY,27
McCleary Rural 060,GY,286
Hoquiam 421,GY,237
Satsop 052,GY,125
Aberdeen 132,GY,0
Lois Lane 082,GY,82
Ocosta 092,GY,0
Cutoff032,GY,71
Johns River 094,GY,219
Melbourne 072,GY,233
Bush 058,GY,405
Aberdeen 121,GY,397
Geissler 036,GY,32
Coats Landing 034,GY,200
Hoquiam 441,GY,312
Grayland 096,GY,229
Hoquiam 461,GY,232
Blockhouse 068,GY,208
Boundary 044,GY,41
Westport 901,GY,396
Humptulips 018,GY,42
Chehalis 066,GY,4
Elma 302,GY,365
Aberdeen 111,GY,417
Cohasset 098,GY,146
Burrows 014,GY,27
Quinault 004,GY,102
Porter 062,GY,139
Delezenne 070,GY,270
Pacific Beach 008,GY,155
Aberdeen 131,GY,535
Elma 301,GY,171
Axford 020,GY,95
Brady 048,GY,350
Hoquiam 431,GY,295
Dekay 022,GY,52
Ocean City 012,GY,195
Moclips 010,GY,16
Montesano 603,GY,0
Cosmopolis 201,GY,406
Cedar Creek 064,GY,58
Ocean Shores 801,GY,419
Ocean Shores 802,GY,572
Ocean Shores 803,GY,490
North Wishkah 028,GY,2
Calder 056,GY,199
Lund 088,GY,56
Taholah 002,GY,162
Aberdeen 142,GY,314
Devonshire 074,GY,210
Reynvaan 040,GY,94
Aberdeen Lake 038,GY,2
Aberdeen 161,GY,419
Wilderness 016,GY,80
Hoquiam 451,GY,226
Sierra 086,GY,1
Blue Slough 084,GY,141
Black Creek 046,GY,338
Hoquiam Rural 024,GY,218
Wishkah 030,GY,188
Stover 026,GY,47
Oakville 701,GY,109
Aberdeen 141,GY,395
Vesta 076,GY,40
Artic 078,GY,42
Wynoochee 042,GY,5
Montesano 602,GY,538
Aberdeen 151,GY,244
Central Park 080,GY,456
Newskah 090,GY,16
McCleary 501,GY,304
Neilton 006,GY,50
Total,GY,14790
Hoquiam 411,GY,290
