Row Label,County,Mark Harmsworth,Mike Wilson
LAKE STEVENS 17,SN,184,123
MISTY,SN,170,155
LAKE STEVENS 15,SN,192,189
LAKE STEVENS 14,SN,145,132
LAKE STEVENS 13,SN,143,138
LAKE STEVENS 12,SN,119,115
LAKE STEVENS 11,SN,102,87
LAKE STEVENS 10,SN,175,130
SLIVER(*),SN,0,0
LAKE STEVENS 19,SN,196,130
LAKE STEVENS 18,SN,163,105
MILL CREEK 14,SN,5,7
PUGET PARK,SN,138,131
SPRUCE,SN,120,68
RAILROAD,SN,131,83
DOUGLAS FIRS,SN,123,132
SOUTH SNOHOMISH,SN,137,111
MEADOW,SN,138,118
MARYSVILLE 34,SN,146,100
WELANGDON,SN,14,5
RIDGEWAY,SN,105,89
VALMONT,SN,91,82
DUBUQUE,SN,179,116
MILL CREEK 11,SN,153,99
MARYSVILLE 24,SN,141,119
MARYSVILLE 23,SN,224,188
LARIMER,SN,168,115
MARYSVILLE 21,SN,276,183
MORNING RISE,SN,141,142
LUDWIG,SN,161,116
RIVERCREST,SN,103,115
FIR,SN,153,149
SILVER FIRS,SN,178,199
MILL CREEK 18,SN,139,142
CASSIDY,SN,182,113
WOODRIDGE,SN,172,217
THOMAS CREEK,SN,160,122
MILL CREEK 15,SN,175,156
MILL CREEK 16,SN,121,97
MILL CREEK 17,SN,170,157
MILL CREEK 10,SN,126,120
SNOHOMISH 10,SN,99,47
MILL CREEK 12,SN,183,106
MILL CREEK 13,SN,150,123
STITCH,SN,47,49
WINDROSE,SN,195,202
SNOHOMISH  2,SN,128,114
SNOHOMISH  3,SN,130,159
MILL CREEK  1,SN,220,174
SNOHOMISH  1,SN,172,181
SNOHOMISH  6,SN,136,96
SNOHOMISH  7,SN,130,181
SNOHOMISH  4,SN,139,157
SNOHOMISH  5,SN,193,225
HEARTHSTONE,SN,111,128
SNOHOMISH  8,SN,206,201
SNOHOMISH  9,SN,97,99
LANTERN(*),SN,0,0
GREENWOOD,SN,175,147
MARYSVILLE 55,SN,117,100
SUNNYSIDE,SN,73,30
TOWER,SN,131,161
LAKE STEVENS  4,SN,139,134
LAKE STEVENS  5,SN,142,109
KENWOOD,SN,129,150
LAKE STEVENS  7,SN,218,147
LAKE STEVENS  1,SN,224,178
LAKE STEVENS  2,SN,164,130
LAKE STEVENS  3,SN,186,195
LAKE STEVENS  8,SN,188,107
LAKE STEVENS  9,SN,126,120
MILL CREEK  3,SN,111,98
MILL CREEK  2,SN,177,97
KENSINGTON,SN,82,76
MARYSVILLE 22,SN,227,169
MERWIN,SN,145,73
HILL,SN,125,137
RIVERVIEW,SN,167,170
MILL CREEK  7,SN,14,11
RUGGS LAKE,SN,160,178
MILL CREEK  6,SN,268,135
MILL CREEK  5,SN,257,179
MILL CREEK  4,SN,142,113
PANTHER CREEK,SN,156,150
GRAND FIRS,SN,226,186
MACHIAS,SN,289,170
MILL CREEK  9,SN,158,168
MILL CREEK  8,SN,203,196
FIRGROVE,SN,93,115
JORDAN,SN,212,238
WINDSONG,SN,124,144
HAINES,SN,201,138
MARYSVILLE 31,SN,259,187
HILTONS LAKE,SN,165,164
TUCKER,SN,154,169
FERNWOOD,SN,133,143
KNOX,SN,9,10
HOLIDAY,SN,67,75
LAKE STEVENS 16,SN,123,98
LAKE STEVENS 28,SN,137,148
LAKE STEVENS 26,SN,83,73
LAKE STEVENS 27,SN,73,78
LAKE STEVENS 24,SN,101,121
LAKE STEVENS 25,SN,54,44
LAKE STEVENS 22,SN,100,144
LAKE STEVENS 23,SN,136,81
LAKE STEVENS 20,SN,164,122
LAKE STEVENS 21,SN,200,175
KATTENHORN,SN,219,227
FIRCREST,SN,114,97
PIONEER TRAILS,SN,153,152
CREEKSIDE,SN,109,122
PELLERIN,SN,144,134
MARSH,SN,224,147
CENTENNIAL,SN,242,199
MARKS,SN,171,150
EASTMONT,SN,87,152
PETERSON,SN,198,192
VILLE,SN,83,50
EBEY,SN,26,11
GLEN ACRES(*),SN,0,0
LAKE STEVENS  6,SN,172,140
OLYMPUS,SN,134,120
PINEWOOD,SN,148,145
DOGWOOD,SN,124,130
TRAIL,SN,86,72
PEAK,SN,8,6
PENNANT,SN,207,196
MARYSVILLE  5,SN,213,166
HILLSIDE,SN,77,51
GLENWOOD,SN,116,99
SEATTLE HILL,SN,156,100
MILL CREEK 21,SN,71,93
MILL CREEK 20,SN,151,111
MILL CREEK 22,SN,89,116
MARYSVILLE 30,SN,196,149
OVERLOOK,SN,191,191
DUMAS,SN,157,131
FOUR CORNERS,SN,151,159
OAKS,SN,192,160
BERKSHIRE,SN,215,202
OHLDE,SN,199,118
BROOK,SN,186,201
SILVER LAKE,SN,117,149
MARION,SN,147,118
SOUTH LAKE STEVENS,SN,207,117
POINTE,SN,25,25
SEXTON,SN,209,178
WHALEBACK,SN,13,10
HAVEN,SN,169,181
STRAWBERRY,SN,160,164
MARYSVILLE 19,SN,149,111
MARYSVILLE 14,SN,239,162
MARYSVILLE 12,SN,184,147
Total,SN,23158,20248
MARYSVILLE 16,SN,218,144
OSBORN,SN,141,125
SUNRISE,SN,105,166
MILL CREEK 19,SN,219,187
