Row Label,County,Karla Buttorff
31-900,PI,190
29-680,PI,255
31-902,PI,386
31-903,PI,3
31-904,PI,51
31-905,PI,259
31-906,PI,160
31-907,PI,236
31-908,PI,200
31-909,PI,235
29-640,PI,301
29-641,PI,304
29-642,PI,310
29-643,PI,25
29-648,PI,6
29-649,PI,92
25-239,PI,368
25-238,PI,205
31-901,PI,38
25-235,PI,11
25-237,PI,0
25-236,PI,288
25-230,PI,93
28-588,PI,342
28-589,PI,352
28-586,PI,328
28-587,PI,243
28-584,PI,240
28-585,PI,370
28-582,PI,142
28-583,PI,214
28-580,PI,55
28-581,PI,215
25-280,PI,367
25-281,PI,256
25-282,PI,364
02-149,PI,384
25-284,PI,190
25-285,PI,477
25-286,PI,344
25-287,PI,4
25-288,PI,376
25-289,PI,0
02-140,PI,361
02-141,PI,342
02-146,PI,251
02-147,PI,255
02-144,PI,298
02-145,PI,332
27-439,PI,298
27-438,PI,294
27-435,PI,351
27-434,PI,332
27-437,PI,307
27-436,PI,330
27-431,PI,151
27-430,PI,348
27-433,PI,336
27-432,PI,340
26-339,PI,61
26-338,PI,301
26-333,PI,353
26-332,PI,319
26-331,PI,99
26-330,PI,266
26-337,PI,399
26-336,PI,439
26-335,PI,318
26-334,PI,330
28-515,PI,392
28-517,PI,427
28-516,PI,393
28-519,PI,415
28-518,PI,420
31-869,PI,138
31-865,PI,84
31-861,PI,81
26-348,PI,380
26-349,PI,368
26-346,PI,320
26-347,PI,300
26-344,PI,48
26-345,PI,339
26-342,PI,410
26-343,PI,339
26-340,PI,428
26-341,PI,342
25-271,PI,352
25-270,PI,375
25-273,PI,223
25-272,PI,346
25-275,PI,0
25-274,PI,446
25-277,PI,358
25-276,PI,16
25-279,PI,304
25-278,PI,127
29-682,PI,293
29-683,PI,319
31-923,PI,168
29-619,PI,278
29-618,PI,245
29-617,PI,287
29-616,PI,282
29-615,PI,336
29-614,PI,316
29-613,PI,316
29-612,PI,153
29-611,PI,60
29-610,PI,291
28-559,PI,326
28-558,PI,318
28-551,PI,468
28-550,PI,281
28-553,PI,411
28-552,PI,427
28-555,PI,440
28-554,PI,386
28-557,PI,308
28-556,PI,320
02-115,PI,276
02-114,PI,170
02-117,PI,336
02-116,PI,347
02-111,PI,261
25-291,PI,80
02-113,PI,236
02-112,PI,188
02-143,PI,245
25-290,PI,32
02-119,PI,208
02-118,PI,216
31-823,PI,190
31-822,PI,218
31-827,PI,75
31-826,PI,297
31-825,PI,251
31-824,PI,0
31-829,PI,244
31-828,PI,257
26-302,PI,521
26-303,PI,463
26-301,PI,143
26-304,PI,528
26-305,PI,484
31-892,PI,179
31-893,PI,0
31-890,PI,158
27-471,PI,13
31-891,PI,91
27-475,PI,285
27-477,PI,327
27-476,PI,235
31-896,PI,4
31-897,PI,127
31-894,PI,39
31-895,PI,215
31-856,PI,218
31-857,PI,137
31-854,PI,141
31-855,PI,179
31-853,PI,50
31-919,PI,257
31-917,PI,349
31-916,PI,238
31-915,PI,50
31-914,PI,203
31-913,PI,101
31-912,PI,200
31-911,PI,153
31-910,PI,230
29-653,PI,289
29-652,PI,29
29-651,PI,349
29-650,PI,307
29-657,PI,6
29-656,PI,287
29-655,PI,127
29-654,PI,330
29-659,PI,170
29-658,PI,276
25-208,PI,411
25-209,PI,388
25-201,PI,416
25-202,PI,335
25-203,PI,397
25-204,PI,338
25-205,PI,394
25-206,PI,241
28-590,PI,13
29-626,PI,8
29-627,PI,0
29-624,PI,0
29-625,PI,5
29-622,PI,237
29-623,PI,69
