Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
MILL CREEK,ST,111,56
KETTLE FALLS 1,ST,216,135
COLUMBIA,ST,311,209
ARDEN 1,ST,222,116
COLVILLE 1,ST,93,59
COLVILLE 2,ST,104,88
DAISY,ST,103,95
COLVILLE 4,ST,238,174
COLVILLE 5,ST,197,150
COLVILLE 6,ST,99,118
COLVILLE 7,ST,123,92
COLVILLE VALLEY,ST,405,239
STONE LODGE,ST,289,103
ECHO VALLEY,ST,145,80
LOON LAKE 2,ST,177,98
NARCISSE,ST,324,165
LOON LAKE 1,ST,311,184
COLVILLE 3,ST,119,83
CAMAS PRAIRIE,ST,158,66
EVANS,ST,138,96
SPRINGDALE,ST,43,29
MEYERS FALLS 2,ST,347,167
NORTHPORT,ST,56,51
SUMMIT,ST,213,50
KELLY HILL,ST,77,37
CLAYTON 2,ST,315,116
CLAYTON 1,ST,183,70
ARDEN 2,ST,256,126
MEYERS FALLS 1,ST,204,125
WAITTS LAKE,ST,244,129
WELLPINIT,ST,31,178
CHEWELAH 3,ST,119,110
HUNTERS,ST,241,179
ONION CREEK,ST,49,97
CHEWELAH 2,ST,90,62
CHEWELAH 1,ST,185,113
ECHO,ST,276,132
QUARTZITE 1,ST,399,196
QUARTZITE 2,ST,193,93
TUM TUM 5,ST,279,101
TUM TUM 4,ST,237,95
ROCK CUT,ST,43,52
TUM TUM 1,ST,179,69
TUM TUM 3,ST,397,151
TUM TUM 2,ST,336,118
MARCUS,ST,24,48
Total,ST,11008,6180
FIRST THOUGHT,ST,53,15
WALKERS PRAIRIE,ST,150,134
CAMAS,ST,259,93
ADDY,ST,276,135
WILLIAMS VALLEY,ST,377,138
ORIN 1,ST,185,94
ORIN 2,ST,235,121
KETTLE FALLS 2,ST,138,81
CHEWELAH FORE,ST,110,79
RICE,ST,115,96
VALLEY 1,ST,48,22
VALLEY 2,ST,163,72
