Row Label,County,Sonya Langsdorf
669,CR,337
668,CR,386
667,CR,321
664,CR,409
663,CR,283
662,CR,416
660,CR,428
130,CR,391
571,CR,386
490,CR,273
491,CR,27
626,CR,386
692,CR,425
693,CR,246
690,CR,390
691,CR,394
696,CR,444
697,CR,505
694,CR,161
695,CR,423
698,CR,352
699,CR,338
450,CR,469
540,CR,398
340,CR,406
400,CR,230
930,CR,353
452,CR,352
935,CR,378
570,CR,378
678,CR,295
679,CR,277
674,CR,348
675,CR,256
677,CR,382
670,CR,409
672,CR,348
455,CR,294
120,CR,471
575,CR,118
914,CR,410
917,CR,271
528,CR,335
910,CR,376
537,CR,157
415,CR,300
535,CR,482
410,CR,454
913,CR,423
298,CR,245
530,CR,157
296,CR,288
370,CR,289
294,CR,260
912,CR,338
925,CR,336
290,CR,391
538,CR,196
591,CR,493
590,CR,504
593,CR,396
592,CR,459
595,CR,210
594,CR,13
597,CR,37
200,CR,410
598,CR,12
629,CR,359
700,CR,66
190,CR,404
985,CR,318
390,CR,478
110,CR,397
113,CR,225
112,CR,36
250,CR,487
536,CR,237
628,CR,446
524,CR,38
525,CR,243
527,CR,311
520,CR,211
521,CR,9
522,CR,135
523,CR,5
420,CR,389
423,CR,322
255,CR,405
425,CR,296
424,CR,457
360,CR,386
426,CR,530
586,CR,342
587,CR,323
449,CR,511
448,CR,489
582,CR,312
583,CR,313
580,CR,263
581,CR,192
441,CR,392
440,CR,393
447,CR,469
446,CR,376
445,CR,492
444,CR,488
245,CR,435
920,CR,312
108,CR,378
240,CR,455
102,CR,318
100,CR,417
615,CR,168
106,CR,351
649,CR,338
104,CR,393
903,CR,394
900,CR,347
905,CR,408
641,CR,155
640,CR,406
643,CR,386
642,CR,179
645,CR,474
644,CR,406
647,CR,255
646,CR,199
436,CR,230
510,CR,264
434,CR,272
435,CR,267
515,CR,453
430,CR,285
588,CR,237
579,CR,16
578,CR,34
627,CR,392
338,CR,381
625,CR,395
624,CR,99
335,CR,321
451,CR,389
337,CR,355
453,CR,372
577,CR,501
330,CR,414
456,CR,524
574,CR,16
600,CR,206
175,CR,284
257,CR,414
170,CR,314
543,CR,365
596,CR,0
654,CR,276
656,CR,195
710,CR,185
180,CR,340
655,CR,390
652,CR,368
653,CR,351
650,CR,395
651,CR,270
505,CR,444
502,CR,346
503,CR,286
500,CR,414
659,CR,395
630,CR,326
631,CR,453
632,CR,209
633,CR,375
634,CR,355
635,CR,314
636,CR,322
560,CR,393
639,CR,358
545,CR,278
460,CR,575
566,CR,268
225,CR,528
160,CR,319
220,CR,298
964,CR,404
965,CR,348
966,CR,233
967,CR,229
960,CR,440
961,CR,75
962,CR,273
963,CR,304
968,CR,346
969,CR,225
658,CR,345
720,CR,301
947,CR,316
605,CR,351
150,CR,250
153,CR,279
606,CR,67
395,CR,113
603,CR,210
555,CR,464
550,CR,431
553,CR,373
584,CR,361
681,CR,329
959,CR,17
958,CR,71
951,CR,328
950,CR,378
953,CR,176
957,CR,76
638,CR,353
327,CR,423
585,CR,458
325,CR,304
620,CR,430
147,CR,312
618,CR,401
563,CR,450
613,CR,164
610,CR,514
617,CR,396
565,CR,328
511,CR,24
648,CR,324
487,CR,200
485,CR,253
673,CR,440
483,CR,540
573,CR,487
480,CR,526
686,CR,293
432,CR,302
576,CR,4
940,CR,332
470,CR,506
689,CR,414
688,CR,332
350,CR,327
685,CR,101
687,CR,381
Total,CR,79633
572,CR,505
680,CR,314
683,CR,352
682,CR,360
