Row Label,County,Thad Duvall,Greg Wright
PRECINCT 107,DG,114,74
PRECINCT 106,DG,92,94
PRECINCT 105,DG,62,78
PRECINCT 104,DG,286,204
PRECINCT 103,DG,53,43
PRECINCT 102,DG,241,184
PRECINCT 101,DG,116,108
PRECINCT 109,DG,53,86
PRECINCT 108,DG,124,84
PRECINCT 305,DG,75,84
PRECINCT 304,DG,35,28
PRECINCT 307,DG,33,30
PRECINCT 306,DG,76,106
PRECINCT 208,DG,89,79
PRECINCT 209,DG,171,158
PRECINCT 303,DG,135,76
PRECINCT 302,DG,184,165
PRECINCT 204,DG,156,167
PRECINCT 205,DG,286,142
PRECINCT 206,DG,123,75
PRECINCT 207,DG,177,174
PRECINCT 309,DG,48,43
PRECINCT 201,DG,125,107
PRECINCT 202,DG,67,46
PRECINCT 203,DG,138,143
PRECINCT 311,DG,88,76
PRECINCT 310,DG,64,50
PRECINCT 316,DG,153,149
PRECINCT 308,DG,39,24
PRECINCT 314,DG,48,14
PRECINCT 315,DG,190,189
PRECINCT 114,DG,116,67
PRECINCT 110,DG,135,129
PRECINCT 111,DG,202,189
PRECINCT 112,DG,122,98
PRECINCT 113,DG,114,78
PRECINCT 318,DG,58,43
PRECINCT 312,DG,89,108
PRECINCT 313,DG,32,28
PRECINCT 215,DG,136,133
PRECINCT 214,DG,35,42
PRECINCT 213,DG,114,88
PRECINCT 212,DG,114,101
PRECINCT 211,DG,59,33
PRECINCT 210,DG,66,45
PRECINCT 317,DG,237,202
PRECINCT 301,DG,190,231
Total,DG,5460,4695
