Row Label,County,Maralyn Chase,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Robert Reedy
SEA 32-3656,KI,202,474,32,288,0,2,52
SHL 32-1236,KI,114,268,12,148,0,0,22
SHL 32-0038,KI,180,498,19,247,0,1,47
SHL 32-0665,KI,162,414,11,218,0,0,45
SHL 32-0335,KI,132,414,12,195,0,0,51
SHL 32-1209,KI,193,478,12,262,0,0,57
SHL 32-0232,KI,168,386,15,231,0,2,46
SHL 32-3556,KI,169,436,12,239,0,2,56
SHL 32-2753,KI,141,465,8,184,0,0,35
SHL 32-0861,KI,238,696,23,331,0,0,70
SHL 32-0866,KI,146,432,13,215,0,1,55
SHL 32-0024,KI,189,449,14,269,0,0,66
SHL 32-1197,KI,134,352,13,191,0,0,44
SHL 32-0423,KI,159,389,11,224,0,3,51
SHL 32-1210,KI,218,535,18,284,0,2,46
SHL 32-0558,KI,104,310,8,138,0,0,26
SHL 32-0559,KI,105,308,7,157,0,0,45
SHL 32-0898,KI,119,295,9,177,0,1,48
SHL 32-0897,KI,168,446,19,233,0,1,45
SHL 32-0895,KI,180,484,9,218,0,0,29
SHL 32-0711,KI,147,337,11,208,0,0,50
SHL 32-0424,KI,123,318,12,192,0,1,56
SHL 32-1053,KI,140,364,20,227,0,1,66
SHL 32-0346,KI,99,256,3,131,0,0,29
SHL 32-0819,KI,155,411,8,211,0,3,45
SHL 32-0296,KI,152,377,11,201,0,0,38
SHL 32-0888,KI,112,264,7,142,0,0,23
SHL 32-0527,KI,174,626,18,274,0,3,79
SHL 32-0648,KI,176,481,13,232,0,0,43
SHL 32-1101,KI,109,301,10,157,0,0,38
SHL 32-0454,KI,131,300,9,173,0,0,33
SHL 32-0357,KI,178,501,9,264,0,1,76
SHL 32-0802,KI,141,452,10,194,0,1,42
SHL 32-0921,KI,110,260,9,176,0,0,57
SHL 32-0920,KI,127,314,12,188,0,1,48
SEA 32-2537,KI,163,396,15,213,0,0,35
SEA 32-2539,KI,340,788,40,447,0,0,67
SHL 32-0538,KI,158,425,11,219,0,1,49
SHL 32-0537,KI,122,337,16,212,0,0,74
SHL 32-0530,KI,97,282,11,179,0,0,71
SHL 32-0735,KI,112,269,8,141,0,0,21
SHL 32-0444,KI,201,438,14,260,0,0,45
SHL 32-1178,KI,126,393,10,186,0,2,48
SHL 32-0368,KI,122,309,6,178,0,0,50
SHL 32-0832,KI,147,343,11,225,0,0,67
SHL 32-1038,KI,108,254,7,136,0,0,21
SHL 32-1080,KI,94,258,7,134,0,0,33
SHL 32-0470,KI,162,413,29,258,0,1,66
SHL 32-0474,KI,117,383,18,191,0,4,52
SHL 32-1168,KI,174,466,15,246,0,1,56
SHL 32-0378,KI,96,305,11,150,0,1,42
SHL 32-0277,KI,95,241,4,132,0,0,33
SHL 32-0274,KI,128,288,8,186,0,2,48
SHL 32-2552,KI,177,444,16,247,1,4,49
SHL 32-0903,KI,129,271,8,171,0,1,33
SHL 32-0514,KI,140,534,25,312,0,4,143
SHL 32-0510,KI,272,645,13,371,0,0,86
SHL 32-0754,KI,261,629,29,389,0,0,99
SHL 32-0462,KI,141,421,14,207,0,0,52
SHL 32-0519,KI,121,422,12,182,0,0,49
SHL 32-1158,KI,113,317,3,158,0,2,40
SEA 32-2224,KI,223,535,15,289,0,2,49
SHL 32-0267,KI,208,607,17,299,0,2,72
SHL 32-0917,KI,176,537,18,252,0,0,58
SHL 32-0914,KI,186,495,15,289,0,2,86
SHL 32-0692,KI,226,554,11,299,0,0,62
SHL 32-0396,KI,286,767,29,401,0,1,85
SHL 32-0012,KI,125,340,9,159,0,1,24
SHL 32-1106,KI,223,585,17,299,0,0,59
SHL 32-0609,KI,131,370,9,184,0,0,44
SHL 32-0494,KI,190,468,18,252,0,0,44
SHL 32-1021,KI,233,550,15,309,0,1,60
SHL 32-1020,KI,105,341,13,178,0,0,60
SHL 32-0499,KI,166,462,8,288,0,1,113
SHL 32-0407,KI,238,661,28,386,0,1,119
SHL 32-0606,KI,125,364,6,183,0,2,50
SHL 32-0605,KI,156,422,23,255,0,0,76
SEA 32-2211,KI,225,606,24,311,0,0,62
SEA 32-2210,KI,266,610,33,374,0,1,74
SHL 32-1140,KI,96,240,11,130,0,0,23
SHL 32-1228,KI,141,366,11,195,0,0,43
SEA 32-2215,KI,387,805,39,535,0,1,108
SEA 32-2217,KI,322,754,30,421,0,0,69
SEA 32-2216,KI,151,338,20,203,0,0,32
