Row Label,County,Deanna Jo Panattoni,Brett Wachsmith
DAMMAN,KS,116,215
VANTAGE,KS,14,9
PARK,KS,139,192
TEANAWAY,KS,156,116
ELLENSBURG 20,KS,32,39
CLE ELUM 4,KS,128,105
ELLENSBURG 22,KS,75,94
ELLENSBURG 23,KS,99,93
CLE ELUM 1,KS,99,76
ELLENSBURG 25,KS,136,179
CLE ELUM 3,KS,28,26
CLE ELUM 2,KS,49,48
SOUTH CLE ELUM,KS,92,75
FAIRVIEW,KS,95,122
RONALD,KS,83,41
NORTHEAST FAIRVIEW,KS,165,167
ELLENSBURG 24,KS,165,186
ELLENSBURG 9,KS,29,54
ELLENSBURG 8,KS,29,41
RIDGEWAY,KS,210,265
ELLENSBURG 1,KS,20,22
ELLENSBURG 2,KS,28,38
ELLENSBURG 5,KS,30,44
ELLENSBURG 4,KS,13,28
ELLENSBURG 7,KS,24,23
ELLENSBURG 6,KS,26,30
EAST SANDERS,KS,141,181
THRALL,KS,117,170
ELLENSBURG 21,KS,47,62
MOUNTAIN,KS,68,58
HYAK,KS,51,26
ROSLYN 1,KS,84,44
ROSLYN 2,KS,78,37
KITTITAS 1,KS,59,66
KACHESS,KS,68,23
MANASTASH,KS,97,162
DENMARK,KS,188,252
ROSLYN OUTLYING,KS,25,26
SOUTH ELLENSBURG,KS,167,241
DRY CREEK,KS,162,192
NORTH CENTRAL,KS,104,158
ELLENSBURG 11,KS,53,70
ELLENSBURG 10,KS,56,74
ELLENSBURG 13,KS,32,54
ELLENSBURG 12,KS,42,65
ELLENSBURG 15,KS,60,93
ELLENSBURG 14,KS,54,76
ELLENSBURG 17,KS,86,79
ELLENSBURG 16,KS,84,144
ELLENSBURG 19,KS,118,139
ELLENSBURG 18,KS,14,14
WESTSIDE,KS,215,129
EASTON,KS,191,122
PEOH POINT,KS,145,141
SANDERS,KS,71,75
KITTITAS 2,KS,78,66
NORTH ELLENSBURG,KS,160,250
THORP,KS,149,123
SWAUK,KS,96,85
Total,KS,5240,5825
