Row Label,County,Raymond Maycumber,Thomas L. Williams
SHERMAN,FE,146,57
REPUBLIC 2,FE,138,61
REPUBLIC 1,FE,147,52
LAMBERT,FE,71,11
HALL CREEK,FE,54,41
CURLEW,FE,22,4
STORM KING,FE,157,60
TORODA,FE,78,32
BOYDS,FE,79,39
MALO,FE,117,44
SOUTH LAKE,FE,116,36
KETTLE RIVER,FE,150,47
KEWA,FE,47,45
BELCHER,FE,83,18
KELLER,FE,74,36
TROUT CREEK,FE,220,66
Total,FE,2018,788
ORIENT,FE,85,43
SAN POIL,FE,208,52
INCHELIUM,FE,26,44
