Row Label,County,Drew C. MacEwen,Tammey Newton
BELFAIR,MA,268,199
MILL CREEK,MA,431,266
HARSTINE,MA,411,364
DAYTON,MA,246,193
DOWNTOWN,MA,216,223
AIRPORT,MA,456,275
MATLOCK,MA,272,239
AGATE,MA,302,242
JOHN&#39;S PRAIRIE,MA,263,156
OLYMPIC VIEW,MA,366,276
ISABELLA,MA,211,135
CUSHMAN,MA,328,309
MASON LAKE,MA,279,202
SAND HILL,MA,349,220
KAMILCHE POINT,MA,141,160
HILLCREST,MA,193,172
EELLS,MA,130,82
BORDEAUX,MA,43,44
ANGLESIDE,MA,312,246
ARCADIA,MA,382,282
HOOD CANAL,MA,409,244
UNION,MA,531,363
LIMERICK,MA,441,337
FAWN LAKE,MA,340,306
TIGER LAKE,MA,193,118
PICKERING,MA,331,188
CALLANAN,MA,11,10
KAMILCHE,MA,156,81
VICTOR,MA,274,156
TWANOH,MA,199,167
OAKLAND BAY,MA,305,154
TAHUYA,MA,330,225
ALLYN,MA,633,361
DEWATTO,MA,373,262
TIMBERLAKE,MA,352,296
GRAPEVIEW,MA,388,305
FAIR HARBOR,MA,267,164
TRAIL&#39;S END,MA,385,227
SKOKOMISH,MA,29,81
Total,MA,11546,8330
