Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Vicki Seitz,Write-in
VASHON,KI,390,120,215,0,95,0
DOLPHIN,KI,275,91,183,0,90,2
FED 30-3372,KI,450,94,227,0,132,1
BUR 34-0377,KI,607,116,293,0,168,9
DES 33-2455,KI,579,54,175,0,119,2
FED 30-3012,KI,301,97,194,0,96,1
WESTWOOD,KI,0,0,0,0,0,0
BUR 34-0465,KI,228,62,132,0,70,0
BUR 34-1047,KI,744,161,355,0,191,3
DES 33-0016,KI,281,79,180,0,101,0
TROUT LAKE,KI,719,146,352,0,203,3
DES 33-1146,KI,591,134,299,0,157,8
BILOXI,KI,430,148,287,0,138,1
SEALTH,KI,378,116,229,0,113,0
DES 33-0362,KI,554,79,209,0,129,1
TUK 11-1165,KI,752,151,340,0,188,1
SET 33-3066,KI,491,77,179,0,101,1
SET 33-3076,KI,623,119,310,0,186,5
SET 33-3081,KI,738,110,269,0,158,1
DES 30-1227,KI,635,171,378,0,204,3
FED 30-3034,KI,359,89,171,0,80,2
BUR 33-0701,KI,722,102,291,0,189,0
FED 30-3036,KI,342,54,148,0,93,1
FED 30-3037,KI,359,59,191,0,129,3
FED 30-3030,KI,361,73,175,0,98,4
BUR 33-0705,KI,701,112,260,0,144,4
FED 30-3032,KI,267,50,131,0,81,0
FED 30-3033,KI,408,74,201,0,125,2
SET 33-3101,KI,366,89,228,0,135,4
FED 30-3238,KI,359,50,148,0,96,2
DES 33-1071,KI,390,78,181,0,102,1
FED 30-3038,KI,198,54,115,0,61,0
FED 30-3039,KI,331,58,186,0,123,5
FED 30-3237,KI,745,165,376,0,207,4
TUK 11-2951,KI,601,110,236,0,125,1
CHAUTAUQUA,KI,416,134,259,0,122,3
BUR 34-0344,KI,420,146,301,0,154,1
ROUNDTABLE,KI,602,92,212,0,120,0
TUK 11-2952,KI,294,48,126,0,77,1
BUR 34-1058,KI,493,146,315,0,168,1
BUR 34-1059,KI,614,125,321,0,193,3
BUR 34-1057,KI,660,208,423,0,214,1
BAKER,KI,599,165,347,0,180,2
FED 30-3055,KI,575,101,280,0,177,2
COVE,KI,545,185,350,0,163,2
BUR 34-0699,KI,823,212,489,0,272,5
BUR 34-1116,KI,387,69,192,0,121,2
FED 30-3085,KI,416,116,257,0,139,2
FED 30-3087,KI,508,105,259,0,150,4
FED 30-3086,KI,526,116,279,0,163,0
