Row Label,County,Richard Anderson,Judy Tuohy
EVERETT   6,SN,90,104
EVERETT   7,SN,45,67
EVERETT  71,SN,71,63
EVERETT   5,SN,94,123
EVERETT   2,SN,125,159
EVERETT  76,SN,106,110
EVERETT  75,SN,73,96
EVERETT  74,SN,80,70
EVERETT  79,SN,117,103
EVERETT  78,SN,55,67
EVERETT   8,SN,106,114
EVERETT   9,SN,165,226
EVERETT  60,SN,115,115
EVERETT  61,SN,31,18
EVERETT  62,SN,86,88
EVERETT  63,SN,85,102
EVERETT  64,SN,60,54
EVERETT  65,SN,113,110
EVERETT  66,SN,116,124
EVERETT  67,SN,88,140
EVERETT  68,SN,164,163
EVERETT  69,SN,89,163
EVERETT  83(*),SN,0,0
EVERETT  55,SN,28,43
EVERETT  54,SN,112,132
EVERETT  57,SN,125,119
EVERETT  56,SN,108,107
EVERETT  51,SN,103,147
EVERETT  50,SN,97,159
EVERETT  53,SN,84,183
EVERETT  52,SN,106,116
EVERETT  59,SN,105,90
EVERETT  58,SN,16,14
EVERETT  73,SN,127,129
EVERETT  72,SN,75,59
EVERETT   4,SN,103,160
EVERETT  48,SN,89,112
EVERETT  49,SN,132,171
EVERETT  42,SN,90,103
EVERETT  43,SN,76,70
EVERETT  40,SN,53,58
EVERETT  41,SN,76,125
EVERETT  46,SN,88,104
EVERETT  47,SN,117,129
EVERETT  44,SN,105,71
EVERETT   3,SN,77,133
EVERETT   1,SN,142,225
EVERETT  39,SN,129,103
EVERETT  38,SN,32,36
EVERETT  37,SN,118,134
EVERETT  36,SN,75,132
EVERETT  35,SN,134,119
EVERETT  34,SN,93,79
EVERETT  33,SN,139,195
EVERETT  32,SN,121,137
EVERETT  31,SN,77,105
EVERETT  30,SN,142,157
EVERETT  70(*),SN,0,0
EVERETT  45,SN,93,101
EVERETT  77,SN,78,135
EVERETT  28,SN,90,121
EVERETT  29,SN,83,112
EVERETT  24,SN,109,164
EVERETT  25,SN,81,140
EVERETT  26,SN,143,250
EVERETT  27,SN,117,154
EVERETT  20,SN,93,142
EVERETT  21,SN,132,209
EVERETT  22,SN,91,131
EVERETT  23,SN,27,25
EVERETT  11,SN,106,214
EVERETT  10,SN,92,104
EVERETT  13,SN,90,117
EVERETT  12,SN,86,139
EVERETT  15,SN,87,149
EVERETT  14,SN,92,146
EVERETT  17,SN,49,92
EVERETT  16,SN,97,91
EVERETT  19,SN,85,148
EVERETT  18,SN,126,196
EVERETT  91,SN,85,94
EVERETT  90,SN,32,43
EVERETT  93,SN,71,83
EVERETT  95,SN,57,61
EVERETT  94,SN,77,67
EVERETT  88,SN,117,149
EVERETT  89,SN,95,96
EVERETT  86,SN,103,116
EVERETT  87,SN,80,81
EVERETT  84,SN,32,40
EVERETT  85,SN,97,91
EVERETT  82,SN,75,114
EVERETT  80,SN,124,165
EVERETT  81,SN,54,77
EVERETT  92(*),SN,0,0
Total,SN,8635,10784
