Row Label,County,Judith Montgomery Hightower,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,127,527,91,221,0,3
SEA 46-2344,KI,192,760,137,329,0,0
SEA 46-2311,KI,142,451,113,256,0,1
SEA 34-3648,KI,122,470,117,240,0,1
SEA 46-1968,KI,86,297,91,177,0,0
SEA 36-1391,KI,121,439,139,262,0,2
SEA 36-1390,KI,85,290,106,191,0,0
SEA 36-1393,KI,99,297,110,209,0,0
SEA 36-1392,KI,121,411,134,255,0,0
SEA 36-1395,KI,130,444,143,276,0,3
SEA 36-1394,KI,150,559,184,336,0,2
SEA 36-1397,KI,97,357,134,233,0,2
SEA 36-1396,KI,74,282,89,166,0,3
SEA 36-1399,KI,111,296,94,205,0,0
SEA 36-1816,KI,94,303,78,172,0,0
SEA 46-3687,KI,66,220,76,143,0,1
SEA 43-2017,KI,120,430,145,267,0,2
SEA 37-3416,KI,81,502,48,134,0,5
SEA 36-1403,KI,98,497,134,234,0,2
SEA 36-1402,KI,102,381,103,206,0,1
SEA 43-2013,KI,90,310,125,216,0,1
SEA 43-2011,KI,90,278,98,189,0,1
SEA 46-2353,KI,125,488,72,199,0,2
SEA 46-2096,KI,75,230,87,162,0,0
SEA 43-2018,KI,166,559,196,363,0,1
SEA 34-3637,KI,184,567,124,309,0,1
SEA 46-2097,KI,109,400,147,257,0,1
SEA 34-3632,KI,60,271,39,99,0,0
SEA 46-2276,KI,109,382,140,250,0,1
SEA 43-1351,KI,148,561,166,315,0,1
SEA 37-1936,KI,114,296,108,222,0,0
SEA 43-1353,KI,128,449,131,260,0,1
SEA 43-1352,KI,154,608,167,322,0,1
SEA 43-1355,KI,130,401,112,244,0,2
SEA 43-1354,KI,122,435,117,240,0,1
SEA 43-1357,KI,106,355,85,192,0,1
SEA 43-2049,KI,82,453,124,208,0,2
SEA 43-1359,KI,151,518,138,291,0,2
SEA 43-1358,KI,102,418,120,224,0,2
SEA 37-1934,KI,251,784,218,472,0,3
SEA 37-1935,KI,92,291,112,204,0,0
SEA 37-3647,KI,86,447,58,146,0,2
SEA 43-2059,KI,123,424,129,252,0,0
SEA 37-3159,KI,232,845,149,383,0,2
SEA 46-2271,KI,144,476,172,319,0,3
SEA 46-2347,KI,134,519,146,281,0,1
SEA 46-1952,KI,76,281,103,179,0,0
SEA 46-1953,KI,94,236,81,175,0,0
SEA 46-1954,KI,100,282,102,203,0,1
SEA 37-1638,KI,85,505,75,162,0,2
SEA 36-1308,KI,79,298,113,193,0,1
SEA 36-1309,KI,145,556,183,328,0,0
SEA 36-1306,KI,113,381,127,240,0,0
SEA 36-1307,KI,83,276,91,174,0,0
SEA 36-1304,KI,115,333,115,234,0,4
SEA 36-1305,KI,97,301,109,206,0,0
SEA 37-1631,KI,99,301,87,187,0,1
SEA 36-1303,KI,118,411,149,269,0,2
SEA 36-1300,KI,108,383,106,214,0,0
SEA 36-1301,KI,90,319,128,218,0,0
SEA 36-1715,KI,81,355,89,172,0,2
SEA 36-1714,KI,157,526,162,321,0,2
SEA 36-1717,KI,60,251,74,134,0,0
SEA 36-1716,KI,73,357,104,177,0,0
SEA 36-1711,KI,185,760,191,379,0,3
SEA 36-1710,KI,73,351,82,157,0,2
SEA 36-1713,KI,84,362,91,176,0,1
SEA 36-1712,KI,135,463,134,269,0,0
SEA 36-2147,KI,153,489,181,338,0,4
SEA 36-1719,KI,149,510,149,299,0,1
SEA 36-1718,KI,61,318,92,155,0,2
SEA 37-1834,KI,100,386,85,188,0,3
SEA 46-1404,KI,112,441,104,217,0,1
SEA 46-2371,KI,196,656,170,371,0,5
SEA 34-3263,KI,97,415,94,194,0,3
SEA 34-3265,KI,93,353,75,168,0,0
SEA 34-3264,KI,106,340,73,180,0,1
SEA 34-3266,KI,64,311,52,117,0,1
SEA 46-2285,KI,114,286,97,211,0,0
SEA 11-1928,KI,59,298,83,145,0,3
SEA 43-2850,KI,86,359,94,182,0,2
SEA 37-1938,KI,112,394,135,247,0,0
SEA 46-2283,KI,102,348,110,214,0,2
SEA 36-1398,KI,135,503,128,265,0,2
SEA 46-2326,KI,128,574,143,271,0,0
SEA 46-2327,KI,101,381,88,190,0,1
SEA 46-2324,KI,117,432,118,237,0,2
SEA 43-2047,KI,191,662,210,403,0,2
SEA 46-2289,KI,76,338,126,203,0,1
SEA 46-2323,KI,139,554,170,310,0,1
SEA 46-2320,KI,105,350,115,222,0,2
SEA 46-2321,KI,108,333,116,225,0,1
SEA 37-3694,KI,18,92,26,44,0,0
SEA 43-1368,KI,70,292,113,184,0,1
SEA 34-1461,KI,131,399,135,268,0,2
SEA 36-1273,KI,79,279,122,201,0,0
SEA 34-1508,KI,89,295,93,182,0,0
SEA 34-1509,KI,80,281,96,177,0,1
SEA 34-1465,KI,143,372,108,251,0,0
SEA 34-1464,KI,108,359,136,245,0,1
SEA 34-1467,KI,160,551,179,339,0,0
SEA 34-1466,KI,98,303,80,179,0,1
SEA 34-1502,KI,98,342,123,223,0,2
SEA 34-1468,KI,130,448,126,256,0,0
SEA 34-1500,KI,156,584,171,328,0,1
SEA 34-1501,KI,127,369,119,248,0,2
SEA 34-1506,KI,101,299,82,183,0,0
SEA 34-1507,KI,99,357,130,230,0,1
SEA 34-1504,KI,135,418,132,267,0,0
SEA 46-2291,KI,112,387,89,204,0,3
SEA 43-1821,KI,78,233,66,144,0,0
SEA 43-1869,KI,140,465,129,270,0,1
SEA 46-2296,KI,117,391,116,237,0,4
SEA 46-2277,KI,161,568,207,368,0,0
SEA 43-1369,KI,65,285,99,165,0,1
SEA 43-2015,KI,92,333,103,195,0,0
SEA 37-1950,KI,46,187,20,67,0,1
SEA 34-1489,KI,182,744,155,338,0,1
SEA 34-1488,KI,155,692,127,284,0,2
SEA 34-1482,KI,94,321,85,180,0,1
SEA 34-1481,KI,122,479,101,227,0,4
SEA 34-1480,KI,180,594,158,339,0,1
SEA 34-1487,KI,111,335,93,205,0,1
SEA 34-1486,KI,97,364,101,201,0,3
SEA 34-1485,KI,186,708,119,307,0,2
SEA 34-1484,KI,102,345,77,180,0,1
SEA 36-3153,KI,101,390,86,187,0,0
SEA 46-2358,KI,266,846,225,494,0,3
SEA 37-1918,KI,100,347,111,212,0,1
SEA 37-1919,KI,99,378,106,207,0,2
SEA 37-2686,KI,181,604,105,291,0,5
SEA 36-3252,KI,105,477,104,211,0,2
SEA 37-1915,KI,128,384,130,260,0,2
SEA 37-1916,KI,112,357,147,261,0,2
SEA 37-1917,KI,182,454,128,311,0,1
SEA 37-1910,KI,166,513,162,329,0,1
SEA 37-1911,KI,104,284,87,191,0,0
SEA 46-2355,KI,103,354,120,224,0,1
SEA 37-1913,KI,132,338,105,239,0,2
SEA 37-1854,KI,118,386,70,190,0,2
SEA 43-1330,KI,135,404,102,238,0,1
SEA 43-1849,KI,70,323,89,161,0,2
SEA 37-1850,KI,168,650,173,346,0,5
SEA 37-1853,KI,68,281,52,120,0,0
SEA 43-1845,KI,142,575,135,277,0,0
SEA 43-1847,KI,109,484,117,227,0,1
SEA 43-1846,KI,77,345,80,158,0,1
SEA 43-1843,KI,119,551,131,251,0,1
SEA 43-1842,KI,138,521,142,282,0,2
SEA 43-2104,KI,130,379,128,260,0,2
SEA 43-2029,KI,243,706,243,488,0,2
SEA 46-2309,KI,96,300,88,184,0,0
SEA 46-2142,KI,199,674,155,357,0,3
SEA 43-1262,KI,151,468,154,308,0,3
SEA 36-2795,KI,108,479,100,209,0,1
SEA 43-1265,KI,71,256,76,148,0,1
SEA 37-1637,KI,197,760,95,295,0,3
SEA 43-1264,KI,117,361,128,248,0,3
SEA 37-1651,KI,175,736,80,256,0,1
SEA 43-2025,KI,180,556,177,360,0,3
SEA 37-1930,KI,195,738,195,391,0,1
SEA 43-1266,KI,97,351,115,213,0,1
SEA 46-2145,KI,148,497,149,297,0,0
SEA 36-1751,KI,98,368,112,212,0,2
SEA 36-1750,KI,127,493,169,296,0,0
SEA 36-1752,KI,109,437,135,244,0,0
SEA 36-1755,KI,72,272,85,158,0,1
SEA 36-1754,KI,109,387,142,252,0,1
SEA 36-1757,KI,66,262,100,166,0,0
SEA 36-1756,KI,200,682,193,393,0,0
SEA 36-1759,KI,58,274,109,169,0,2
SEA 36-1758,KI,124,351,122,246,0,0
SEA 43-2043,KI,90,292,103,193,0,0
SEA 43-2044,KI,88,350,97,186,0,1
SEA 43-2045,KI,91,315,98,189,0,0
SEA 11-1256,KI,141,627,99,242,0,2
SEA 34-1533,KI,75,229,84,159,0,0
SEA 34-1532,KI,71,237,67,138,0,0
SEA 43-1263,KI,113,350,116,230,0,1
SEA 34-1530,KI,167,619,196,367,0,4
SEA 34-1537,KI,91,289,65,156,0,0
SEA 34-1536,KI,96,304,94,191,1,0
SEA 34-1535,KI,71,239,75,146,0,0
SEA 34-1534,KI,116,362,122,238,0,0
SEA 43-1269,KI,117,357,117,234,0,0
SEA 43-1268,KI,119,352,135,254,0,0
SEA 34-1539,KI,91,356,103,198,0,4
SEA 34-1538,KI,100,378,101,202,0,1
SEA 43-2048,KI,94,376,118,214,0,2
SEA 46-2343,KI,99,341,94,194,0,1
SEA 46-2298,KI,105,321,99,205,0,1
SEA 36-2505,KI,114,324,114,228,0,0
SEA 36-2504,KI,96,303,116,213,0,1
SEA 36-2507,KI,81,283,94,180,0,5
