Row Label,County,Craig Pridemore,Jeanne E. Stewart
669,CR,246,315
668,CR,351,276
667,CR,252,208
664,CR,296,283
663,CR,224,173
662,CR,278,322
660,CR,334,250
130,CR,448,188
571,CR,237,304
490,CR,218,251
491,CR,23,29
626,CR,250,274
692,CR,262,337
693,CR,161,163
690,CR,341,277
691,CR,233,318
696,CR,350,333
697,CR,361,370
694,CR,120,90
695,CR,307,308
698,CR,232,315
699,CR,253,272
450,CR,392,325
540,CR,252,442
340,CR,321,260
400,CR,209,128
595(*),CR,0,0
930,CR,272,339
452,CR,315,221
935,CR,254,349
570,CR,269,319
678,CR,247,197
679,CR,205,174
674,CR,295,216
675,CR,221,193
677,CR,329,282
670,CR,361,261
672,CR,251,233
455,CR,222,204
120,CR,469,225
575,CR,52,127
914,CR,239,347
917,CR,197,196
528,CR,199,380
910,CR,253,268
537,CR,79,157
415,CR,240,199
535,CR,270,505
410,CR,403,296
913,CR,295,368
298,CR,186,174
530,CR,105,165
296,CR,218,186
370,CR,226,196
294,CR,190,191
912,CR,269,208
925,CR,221,287
290,CR,316,247
538,CR,83,219
591,CR,327,493
590,CR,325,458
593,CR,252,403
592,CR,331,426
594,CR,6,14
597,CR,25,50
200,CR,431,175
598,CR,9,10
629,CR,223,276
700,CR,42,63
190,CR,396,257
985,CR,233,246
390,CR,364,298
110,CR,469,194
113,CR,182,121
112,CR,36,21
250,CR,408,272
536,CR,145,219
628,CR,274,306
524,CR,27,46
525,CR,171,235
527,CR,208,313
520,CR,160,193
521,CR,8,6
522,CR,86,139
523,CR,2,19
420,CR,335,237
423,CR,254,174
255,CR,329,232
425,CR,225,214
424,CR,334,311
360,CR,326,288
426,CR,407,346
586,CR,205,272
587,CR,174,308
449,CR,442,335
448,CR,407,311
582,CR,154,299
583,CR,160,308
580,CR,170,243
581,CR,101,179
441,CR,280,295
440,CR,340,259
447,CR,385,356
446,CR,245,312
445,CR,369,343
444,CR,432,321
245,CR,343,302
920,CR,233,263
108,CR,414,172
240,CR,388,350
102,CR,295,182
100,CR,483,183
615,CR,107,170
106,CR,370,173
649,CR,219,267
104,CR,414,211
903,CR,284,289
900,CR,255,287
905,CR,256,353
641,CR,121,111
640,CR,269,284
643,CR,244,268
642,CR,118,143
645,CR,367,329
644,CR,340,284
647,CR,220,196
646,CR,125,146
436,CR,172,158
510,CR,167,251
434,CR,226,201
435,CR,203,221
515,CR,300,384
430,CR,213,195
588,CR,139,186
579,CR,15,8
578,CR,23,35
627,CR,245,293
338,CR,267,292
625,CR,269,361
624,CR,51,80
335,CR,244,208
451,CR,315,254
337,CR,298,242
453,CR,293,252
577,CR,246,528
330,CR,310,276
456,CR,425,381
574,CR,17,11
600,CR,91,224
175,CR,222,170
257,CR,322,253
170,CR,314,162
543,CR,227,391
654,CR,176,215
656,CR,158,146
710,CR,138,113
180,CR,266,178
655,CR,262,234
652,CR,267,241
653,CR,239,221
650,CR,334,215
651,CR,205,203
505,CR,317,395
502,CR,259,276
503,CR,171,278
500,CR,286,368
659,CR,274,303
630,CR,209,234
631,CR,366,276
632,CR,151,155
633,CR,262,231
634,CR,224,269
635,CR,201,229
636,CR,221,256
560,CR,278,322
639,CR,264,229
545,CR,167,263
460,CR,442,360
566,CR,177,215
225,CR,502,296
160,CR,276,164
220,CR,252,171
964,CR,285,324
965,CR,282,294
966,CR,154,246
967,CR,156,204
960,CR,334,344
961,CR,48,59
962,CR,172,284
963,CR,256,187
968,CR,280,212
969,CR,171,172
658,CR,261,259
720,CR,206,238
947,CR,227,245
605,CR,162,424
150,CR,227,131
153,CR,211,192
606,CR,40,78
395,CR,125,62
603,CR,106,287
555,CR,339,360
550,CR,325,409
553,CR,287,262
584,CR,205,312
681,CR,225,234
959,CR,10,23
958,CR,47,53
951,CR,312,208
950,CR,277,263
953,CR,144,108
957,CR,44,79
638,CR,251,232
327,CR,293,330
585,CR,254,436
325,CR,219,220
620,CR,272,406
147,CR,268,223
618,CR,289,378
563,CR,270,352
613,CR,101,196
610,CR,341,473
617,CR,220,361
565,CR,232,241
511,CR,14,18
648,CR,257,224
487,CR,123,167
485,CR,179,278
673,CR,358,290
483,CR,416,421
573,CR,318,418
480,CR,402,419
686,CR,225,202
432,CR,238,192
576,CR,3,4
940,CR,241,305
680,CR,276,222
470,CR,471,294
689,CR,259,325
688,CR,253,229
350,CR,257,222
685,CR,80,75
687,CR,225,285
Total,CR,59226,60131
572,CR,315,416
596(*),CR,0,0
683,CR,280,257
682,CR,261,246
