Row Label,County,Kristine Lytton,Daniel R. Miller
248    ,WM,175,117
180    ,WM,313,132
257    ,WM,221,20
160    ,WM,306,177
242,WM,230,72
164    ,WM,89,83
264    ,WM,342,146
238,WM,200,158
239,WM,345,188
259    ,WM,204,90
235,WM,183,109
236,WM,122,75
163    ,WM,264,163
230,WM,197,66
231,WM,310,100
232,WM,286,184
174    ,WM,231,162
179    ,WM,58,70
237,WM,179,85
182    ,WM,328,255
261    ,WM,312,92
266    ,WM,367,136
162    ,WM,217,154
175    ,WM,309,132
249    ,WM,350,143
181    ,WM,367,224
161    ,WM,188,103
251    ,WM,366,87
168    ,WM,310,276
263    ,WM,328,67
173    ,WM,231,173
252    ,WM,67,6
260    ,WM,235,148
250    ,WM,514,137
177    ,WM,217,103
245,WM,165,27
244,WM,397,76
247,WM,256,37
178    ,WM,329,145
241,WM,229,118
240,WM,361,147
243,WM,322,126
228,WM,346,41
226,WM,194,21
170    ,WM,197,146
255    ,WM,200,85
265    ,WM,245,128
254    ,WM,266,113
258    ,WM,412,36
256    ,WM,413,69
171    ,WM,369,144
253    ,WM,264,52
169    ,WM,444,232
246,WM,290,42
262    ,WM,321,65
172    ,WM,188,122
Total,WM,15450,6647
159    ,WM,63,66
176    ,WM,218,176
