Row Label,County,John Olson,CJ Wolfe
MILL CREEK,ST,68,92
KETTLE FALLS 1,ST,173,158
COLUMBIA,ST,243,216
ARDEN 1,ST,124,205
COLVILLE 1,ST,79,59
COLVILLE 2,ST,69,112
DAISY,ST,97,79
COLVILLE 4,ST,170,226
COLVILLE 5,ST,153,177
COLVILLE 6,ST,94,111
COLVILLE 7,ST,101,108
COLVILLE VALLEY,ST,253,351
STONE LODGE,ST,236,94
ECHO VALLEY,ST,115,104
LOON LAKE 2,ST,145,86
NARCISSE,ST,220,236
LOON LAKE 1,ST,261,157
COLVILLE 3,ST,96,98
CAMAS PRAIRIE,ST,119,78
EVANS,ST,98,112
SPRINGDALE,ST,45,22
MEYERS FALLS 2,ST,228,247
NORTHPORT,ST,57,44
SUMMIT,ST,142,94
KELLY HILL,ST,41,71
CLAYTON 2,ST,242,130
CLAYTON 1,ST,147,73
ARDEN 2,ST,179,190
MEYERS FALLS 1,ST,120,180
WAITTS LAKE,ST,209,125
WELLPINIT,ST,70,62
CHEWELAH 3,ST,113,91
HUNTERS,ST,211,137
ONION CREEK,ST,55,73
CHEWELAH 2,ST,68,60
CHEWELAH 1,ST,155,110
ECHO,ST,207,185
QUARTZITE 1,ST,314,215
QUARTZITE 2,ST,141,126
TUM TUM 5,ST,235,85
TUM TUM 4,ST,191,89
ROCK CUT,ST,34,37
TUM TUM 1,ST,134,75
TUM TUM 3,ST,353,118
TUM TUM 2,ST,268,128
MARCUS,ST,35,32
Total,ST,8486,6905
FIRST THOUGHT,ST,34,20
WALKERS PRAIRIE,ST,129,103
CAMAS,ST,214,97
ADDY,ST,207,179
WILLIAMS VALLEY,ST,289,142
ORIN 1,ST,143,125
ORIN 2,ST,151,184
KETTLE FALLS 2,ST,88,116
CHEWELAH FORE,ST,88,63
RICE,ST,89,99
VALLEY 1,ST,32,25
VALLEY 2,ST,114,94
