Row Label,County,Paul Harris,Richard McCluskey
579,CR,11,13
578,CR,37,22
627,CR,345,208
626,CR,333,199
669,CR,401,170
624,CR,95,40
555,CR,432,272
572,CR,495,238
571,CR,357,190
570,CR,397,196
577,CR,584,202
550,CR,484,260
553,CR,350,213
574,CR,16,14
633,CR,272,230
677,CR,374,233
667,CR,270,179
678,CR,263,189
679,CR,215,171
692,CR,389,222
693,CR,191,131
691,CR,338,211
664,CR,335,241
685,CR,92,66
694,CR,102,108
695,CR,371,246
674,CR,290,225
698,CR,407,163
668,CR,370,260
662,CR,366,245
656,CR,191,118
543,CR,446,170
654,CR,244,153
655,CR,284,222
652,CR,265,249
653,CR,242,226
629,CR,327,185
658,CR,317,209
659,CR,360,220
630,CR,263,185
632,CR,176,134
628,CR,347,237
634,CR,308,198
635,CR,255,175
636,CR,302,171
560,CR,405,203
441,CR,346,228
563,CR,404,225
617,CR,411,183
672,CR,265,217
576,CR,5,3
649,CR,309,181
575,CR,134,43
699,CR,346,189
487,CR,189,101
615,CR,205,80
483,CR,521,305
687,CR,307,207
573,CR,481,249
697,CR,427,303
638,CR,288,200
686,CR,250,179
710,CR,127,125
641,CR,136,99
640,CR,321,240
643,CR,311,201
689,CR,371,228
688,CR,277,215
720,CR,296,151
646,CR,170,106
436,CR,192,137
434,CR,264,170
Total,CR,22212,13840
681,CR,257,203
680,CR,302,199
683,CR,309,230
682,CR,277,231
