Row Label,County,Tom Jones
Ephrata 7 012,GR,275
Hartline Rural S 020,GR,23
Moses Lake 5 029,GR,288
Ephrata 9 013,GR,452
Beverly 002,GR,25
East Wahluke 061,GR,67
Royal City 044,GR,99
Moses Lake 2 067,GR,224
Marlin 024,GR,17
Lakeview Park 021,GR,241
Moses Lake 9  068,GR,292
Coulee City 005,GR,172
North Banks Lake 037,GR,56
Ephrata Rural E,GR,244
Moses Lake 7 033,GR,337
George 015,GR,34
Mae 023,GR,701
Ruff 045,GR,37
Cascade Valley 058,GR,473
Wilson Crk Rural 056,GR,29
Electric City 007,GR,248
Coulee Cty Rur N 072,GR,62
Moses Lake 1 066,GR,196
Smyrna 2 060,GR,21
Hartline 019,GR,47
Moses Lake 4 031,GR,255
Cascade Fairgrnd 004,GR,203
Warden 050,GR,160
Ephrata 5 008,GR,229
Quincy 4 040,GR,131
Ephrata 4 011,GR,354
Quincy 1 039,GR,222
Stratford 049,GR,40
Westslope 1 053,GR,85
McConihe 1 028,GR,149
Marlin Rural 025,GR,34
Coulee Cty Rur W 006,GR,78
Coulee Cty Rur E 062,GR,19
Moses Lake 6 032,GR,395
Wheeler 2 070,GR,516
Longview 022,GR,323
Greenfield 065,GR,50
Mattawa Rural 027,GR,372
Airport 2 057,GR,166
Soap Lake 1 047,GR,155
Airport 1 001,GR,205
Grand Coulee 018,GR,194
Moses Lake 12 036,GR,320
Gloyd 017,GR,230
Hartline Rural N 073,GR,28
Smyrna 1 046,GR,110
Westslope 2 059,GR,69
Moses Lake 3 030,GR,395
Mattawa 026,GR,41
O Sullivan Dam 2 069,GR,551
Soap Lake 2 052,GR,134
Quincy Rural S 064,GR,444
Ephrata Rural ,GR,224
Ephrata 3 010,GR,203
Wheeler 1 054,GR,187
Warden Rural 051,GR,312
George Rural 016,GR,422
McConihe 2 063,GR,121
Quincy 6 041,GR,370
Block 71 003,GR,457
Wilson Creek 055,GR,58
Quincy Rural N 042,GR,182
Moses Lake 8 034,GR,430
O Sullivan Dam 1 038,GR,411
Soap Lake Rur E ,GR,80
Royal Camp 043,GR,375
Total,GR,16258
Soap Lake Rur W ,GR,287
Ephrata 2 009,GR,299
Moses Lake 11 035,GR,523
