Row Label,County,Norma Smith,Michael Scott
CAMANO 08,IS,283,157
CAMANO 09,IS,477,157
S WHIDBEY 09,IS,583,166
S WHIDBEY 08,IS,465,135
N WHIDBEY 04,IS,592,160
N WHIDBEY 05,IS,307,66
N WHIDBEY 06,IS,306,69
N WHIDBEY 07,IS,419,97
S WHIDBEY 03,IS,637,178
S WHIDBEY 02,IS,567,153
S WHIDBEY 01,IS,562,205
CAMANO 03,IS,482,163
S WHIDBEY 07,IS,547,168
S WHIDBEY 06,IS,562,145
S WHIDBEY 05,IS,555,204
S WHIDBEY 04,IS,525,145
N WHIDBEY 01,IS,531,154
N WHIDBEY 03,IS,399,104
CAMANO 01,IS,351,135
C WHIDBEY 03,IS,574,152
C WHIDBEY 02,IS,591,154
C WHIDBEY 01,IS,365,73
COUPEVILLE,IS,529,195
C WHIDBEY 05,IS,529,173
C WHIDBEY 04,IS,521,210
N WHIDBEY 02,IS,502,130
N WHIDBEY 08,IS,373,50
N WHIDBEY 09,IS,333,63
CAMANO 02,IS,519,151
N WHIDBEY 11,IS,73,27
N WHIDBEY 10,IS,146,27
S WHIDBEY 10,IS,520,189
CAMANO 04,IS,657,179
CAMANO 05,IS,562,158
CAMANO 06,IS,491,153
CAMANO 11,IS,448,174
CAMANO 10,IS,356,127
CAMANO 07,IS,456,128
OAK HARBOR 08,IS,382,121
OAK HARBOR 09,IS,94,46
OAK HARBOR 01,IS,482,99
OAK HARBOR 02,IS,376,80
OAK HARBOR 03,IS,464,96
OAK HARBOR 04,IS,445,131
OAK HARBOR 05,IS,485,106
OAK HARBOR 06,IS,371,117
OAK HARBOR 07,IS,443,161
LANGLEY,IS,388,110
Total,IS,21625,6341
