Row Label,County,Joel Kretz,Ronnie Rae
PCT 7023,SP,290,63
PCT 7024,SP,510,99
PCT 7025,SP,351,86
PCT 7026,SP,373,91
PCT 7027,SP,279,75
PCT 7028,SP,512,117
PCT 7029,SP,310,105
PCT 7008,SP,486,90
PCT 7009,SP,532,117
PCT 7006,SP,410,92
PCT 7007,SP,330,101
PCT 7004,SP,435,62
PCT 7005,SP,559,142
PCT 7002,SP,310,54
PCT 7003,SP,412,91
PCT 7000,SP,573,103
PCT 7001,SP,300,85
PCT 7033,SP,220,76
PCT 7301,SP,265,66
PCT 7300,SP,333,65
PCT 7302,SP,246,70
PCT 7011,SP,264,42
PCT 7010,SP,319,65
PCT 7013,SP,387,55
PCT 7012,SP,389,68
PCT 7015,SP,366,74
PCT 7014,SP,351,88
PCT 7017,SP,401,78
PCT 7016,SP,500,93
PCT 7019,SP,365,66
PCT 7018,SP,429,113
PCT 7031,SP,336,73
PCT 7030,SP,381,99
PCT 7036,SP,270,51
PCT 7035,SP,230,71
PCT 7034,SP,204,61
PCT 7020,SP,417,80
PCT 7021,SP,232,53
Total,SP,14511,3247
PCT 7032,SP,339,101
PCT 7022,SP,295,66
