Row Label,County,Mark C. Chow,Phillip Tavel,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,121,44,527,55,221,0,1
SEA 46-2344,KI,140,93,760,95,329,0,1
SEA 46-2311,KI,134,66,451,56,256,0,0
SEA 34-3648,KI,107,67,470,65,240,0,1
SEA 46-1968,KI,79,49,297,49,177,0,0
SEA 36-1391,KI,105,71,439,85,262,1,0
SEA 36-1390,KI,93,44,290,54,191,0,0
SEA 36-1393,KI,107,34,297,68,209,0,0
SEA 36-1392,KI,139,47,411,68,255,0,1
SEA 36-1395,KI,142,58,444,75,276,0,1
SEA 36-1394,KI,171,66,559,98,336,0,1
SEA 36-1397,KI,124,36,357,70,233,0,3
SEA 36-1396,KI,93,27,282,45,166,0,1
SEA 36-1399,KI,87,51,296,67,205,0,0
SEA 36-1816,KI,67,51,303,54,172,0,0
SEA 46-3687,KI,58,43,220,42,143,0,0
SEA 43-2017,KI,140,64,430,63,267,0,0
SEA 37-3416,KI,65,37,502,29,134,0,3
SEA 36-1403,KI,100,51,497,83,234,0,0
SEA 36-1402,KI,103,42,381,61,206,0,0
SEA 43-2013,KI,115,31,310,69,216,0,1
SEA 43-2011,KI,82,38,278,67,189,0,2
SEA 46-2353,KI,87,61,488,49,199,0,2
SEA 46-2096,KI,90,25,230,47,162,0,0
SEA 43-2018,KI,212,52,559,99,363,0,0
SEA 34-3637,KI,136,84,567,89,309,0,0
SEA 46-2097,KI,119,48,400,90,257,0,0
SEA 34-3632,KI,41,27,271,31,99,0,0
SEA 46-2276,KI,115,65,382,70,250,0,0
SEA 43-1351,KI,174,64,561,77,315,0,0
SEA 37-1936,KI,103,52,296,67,222,0,0
SEA 43-1353,KI,149,36,449,74,260,0,1
SEA 43-1352,KI,179,46,608,97,322,0,0
SEA 43-1355,KI,120,54,401,69,244,0,1
SEA 43-1354,KI,112,53,435,74,240,0,1
SEA 43-1357,KI,95,49,355,47,192,0,1
SEA 43-2049,KI,110,33,453,62,208,0,3
SEA 43-1359,KI,146,63,518,80,291,0,2
SEA 43-1358,KI,98,54,418,71,224,0,1
SEA 37-1934,KI,260,78,784,133,472,0,1
SEA 37-1935,KI,108,42,291,54,204,0,0
SEA 37-3647,KI,69,40,447,36,146,0,1
SEA 43-2059,KI,135,39,424,78,252,0,0
SEA 37-3159,KI,214,81,845,86,383,0,2
SEA 46-2271,KI,154,76,476,88,319,0,1
SEA 46-2347,KI,112,78,519,89,281,0,2
SEA 46-1952,KI,72,50,281,57,179,0,0
SEA 46-1953,KI,73,49,236,53,175,0,0
SEA 46-1954,KI,79,65,282,58,203,0,1
SEA 37-1638,KI,89,25,505,48,162,0,0
SEA 36-1308,KI,91,40,298,61,193,0,1
SEA 36-1309,KI,151,58,556,118,328,0,1
SEA 36-1306,KI,127,39,381,74,240,0,0
SEA 36-1307,KI,96,37,276,41,174,0,0
SEA 36-1304,KI,106,50,333,76,234,0,2
SEA 36-1305,KI,109,32,301,65,206,0,0
SEA 37-1631,KI,82,45,301,59,187,0,1
SEA 36-1303,KI,116,65,411,87,269,0,1
SEA 36-1300,KI,85,58,383,71,214,0,0
SEA 36-1301,KI,115,35,319,68,218,0,0
SEA 36-1715,KI,86,33,355,52,172,0,1
SEA 36-1714,KI,146,87,526,87,321,0,1
SEA 36-1717,KI,55,33,251,46,134,0,0
SEA 36-1716,KI,84,30,357,63,177,0,0
SEA 36-1711,KI,147,103,760,127,379,0,2
SEA 36-1710,KI,61,49,351,47,157,0,0
SEA 36-1713,KI,75,41,362,60,176,0,0
SEA 36-1712,KI,112,76,463,81,269,0,0
SEA 36-2147,KI,162,68,489,106,338,0,2
SEA 36-1719,KI,129,69,510,100,299,0,1
SEA 36-1718,KI,70,33,318,52,155,0,0
SEA 37-1834,KI,100,46,386,41,188,0,1
SEA 46-1404,KI,86,58,441,72,217,0,1
SEA 46-2371,KI,145,109,656,115,371,0,2
SEA 34-3263,KI,82,53,415,59,194,0,0
SEA 34-3265,KI,71,50,353,47,168,0,0
SEA 34-3264,KI,66,68,340,45,180,1,0
SEA 34-3266,KI,56,32,311,29,117,0,0
SEA 46-2285,KI,109,43,286,59,211,0,0
SEA 11-1928,KI,79,21,298,44,145,0,1
SEA 43-2850,KI,89,44,359,49,182,0,0
SEA 37-1938,KI,138,38,394,71,247,0,0
SEA 46-2283,KI,94,61,348,58,214,0,1
SEA 36-1398,KI,130,57,503,78,265,0,0
SEA 46-2326,KI,119,72,574,80,271,0,0
