Row Label,County,Ruth Kagi,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Alvin A. Rutledge
SEA 32-3656,KI,202,474,29,288,0,1,56
SHL 32-1236,KI,115,268,12,148,1,0,20
SHL 32-0038,KI,177,498,21,247,0,1,48
SHL 32-0665,KI,168,414,11,218,0,0,39
SHL 32-0335,KI,138,414,10,195,0,0,47
SHL 32-1209,KI,195,478,12,262,0,0,55
SHL 32-0232,KI,169,386,18,231,0,0,44
SHL 32-3556,KI,166,436,14,239,0,3,56
SHL 32-2753,KI,144,465,7,184,0,0,33
SHL 32-0861,KI,238,696,22,331,0,1,70
SHL 32-0866,KI,152,432,13,215,0,0,50
SHL 32-0024,KI,186,449,12,269,0,1,70
SHL 32-1197,KI,133,352,17,191,0,1,40
SHL 32-0423,KI,153,389,14,224,0,0,57
SHL 32-1210,KI,222,535,17,284,0,2,43
SHL 32-0558,KI,105,310,9,138,0,0,24
SHL 32-0559,KI,107,308,9,157,0,0,41
SHL 32-0898,KI,118,295,6,177,0,0,53
SHL 32-0897,KI,170,446,18,233,0,1,44
SHL 32-0895,KI,175,484,13,218,0,0,30
SHL 32-0711,KI,157,337,11,208,0,0,40
SHL 32-0424,KI,125,318,13,192,0,0,54
SHL 32-1053,KI,143,364,23,227,0,2,59
SHL 32-0346,KI,103,256,4,131,0,0,24
SHL 32-0819,KI,156,411,11,211,0,1,43
SHL 32-0296,KI,151,377,13,201,0,0,37
SHL 32-0888,KI,108,264,10,142,0,0,24
SHL 32-0527,KI,189,626,20,274,0,2,63
SHL 32-0648,KI,175,481,15,232,0,0,42
SHL 32-1101,KI,110,301,10,157,0,0,37
SHL 32-0454,KI,126,300,10,173,0,0,37
SHL 32-0357,KI,172,501,8,264,0,1,83
SHL 32-0802,KI,140,452,10,194,0,2,42
SHL 32-0921,KI,112,260,9,176,0,0,55
SHL 32-0920,KI,128,314,11,188,0,1,48
SEA 32-2537,KI,162,396,17,213,0,0,34
SEA 32-2539,KI,341,788,45,447,0,0,61
SHL 32-0538,KI,161,425,11,219,0,1,46
SHL 32-0537,KI,127,337,8,212,0,0,77
SHL 32-0530,KI,104,282,13,179,0,0,62
SHL 32-0735,KI,112,269,8,141,0,0,21
SHL 32-0444,KI,195,438,18,260,0,0,47
SHL 32-1178,KI,135,393,5,186,0,0,46
SHL 32-0368,KI,124,309,9,178,0,0,45
SHL 32-0832,KI,154,343,10,225,0,0,61
SHL 32-1038,KI,116,254,5,136,0,0,15
SHL 32-1080,KI,95,258,6,134,0,0,33
SHL 32-0470,KI,172,413,25,258,0,0,61
SHL 32-0474,KI,115,383,22,191,0,1,53
SHL 32-1168,KI,175,466,18,246,0,0,53
SHL 32-0378,KI,96,305,12,150,0,1,41
SHL 32-0277,KI,94,241,5,132,0,0,33
SHL 32-0274,KI,130,288,6,186,0,0,50
SHL 32-2552,KI,178,444,18,247,1,1,49
SHL 32-0903,KI,129,271,8,171,0,1,33
SHL 32-0514,KI,157,534,25,312,0,0,130
SHL 32-0510,KI,265,645,17,371,0,0,89
SHL 32-0754,KI,268,629,27,389,0,0,94
SHL 32-0462,KI,142,421,20,207,0,0,45
SHL 32-0519,KI,122,422,12,182,0,0,48
SHL 32-1158,KI,116,317,3,158,0,0,39
SEA 32-2224,KI,220,535,19,289,0,1,49
SHL 32-0267,KI,213,607,20,299,0,1,65
SHL 32-0917,KI,179,537,21,252,0,0,52
SHL 32-0914,KI,194,495,19,289,0,0,76
SHL 32-0692,KI,226,554,15,299,0,0,58
SHL 32-0396,KI,286,767,25,401,0,1,89
SHL 32-0012,KI,122,340,13,159,0,1,23
SHL 32-1106,KI,229,585,16,299,0,0,54
SHL 32-0609,KI,126,370,12,184,0,1,45
SHL 32-0494,KI,200,468,16,252,0,0,36
SHL 32-1021,KI,223,550,16,309,0,3,67
SHL 32-1020,KI,108,341,12,178,0,0,58
SHL 32-0499,KI,174,462,8,288,0,0,106
SHL 32-0407,KI,246,661,21,386,0,0,119
SHL 32-0606,KI,129,364,6,183,0,0,48
SHL 32-0605,KI,163,422,21,255,0,0,71
SEA 32-2211,KI,221,606,26,311,0,0,64
SEA 32-2210,KI,260,610,33,374,0,1,80
SHL 32-1140,KI,101,240,8,130,0,0,21
SHL 32-1228,KI,139,366,13,195,0,1,42
SEA 32-2215,KI,398,805,37,535,0,1,99
SEA 32-2217,KI,316,754,34,421,0,0,71
SEA 32-2216,KI,154,338,19,203,0,0,30
SEA 32-2218,KI,248,666,25,332,0,1,58
SHL 32-0319,KI,92,284,11,141,0,0,38
SHL 32-3363,KI,114,373,15,164,0,0,35
SHL 32-0844,KI,194,431,17,276,0,0,65
SEA 32-3568,KI,293,849,32,383,0,0,58
SHL 32-0001,KI,127,439,12,175,0,2,34
SHL 32-0486,KI,132,298,13,185,0,0,40
SHL 32-0488,KI,94,282,7,136,0,1,34
SHL 32-1030,KI,104,301,11,144,0,0,29
SEA 32-2206,KI,208,412,17,266,0,1,40
SEA 32-2204,KI,176,339,21,230,0,0,33
SHL 32-0241,KI,206,612,19,291,0,0,66
SEA 32-2202,KI,189,436,14,250,0,1,46
SEA 32-2203,KI,317,758,40,422,0,3,62
SEA 32-2200,KI,200,385,20,263,0,0,43
SEA 32-2201,KI,250,463,23,315,0,0,42
SHL 32-0401,KI,188,419,24,282,0,0,70
SHL 32-0088,KI,93,258,7,121,0,0,21
SEA 32-2208,KI,167,350,26,224,0,0,31
SEA 32-2209,KI,292,599,33,402,0,0,77
SHL 32-1077,KI,164,471,13,225,0,1,47
SHL 32-0875,KI,242,557,22,315,0,0,51
